# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130151
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763488911.491959, 0.000703891, -3.118786494, 3.138793945, 1.560537418, -0.001917601, -1.568284353, 0.026003083, 0.203122623, -5.368001998, -4.070807422, -0.194154582
1, 1763488911.518185, 0.000708818, -3.118793805, 3.138785998, 1.560543497, -0.001899322, -1.568293413, 0.026003083, 0.203115461, -5.368005283, -4.070805159, -0.194141936
2, 1763488911.573751, 0.000703891, -3.118791421, 3.138788700, 1.560543497, -0.001917521, -1.568299611, 0.025997996, 0.203106354, -5.368000922, -4.070807642, -0.194142263
3, 1763488911.604001, 0.000703812, -3.118786653, 3.138786077, 1.560549617, -0.001911481, -1.568290552, 0.026005646, 0.203112100, -5.368001536, -4.070804896, -0.194141417
4, 1763488911.634063, 0.000701427, -3.118798971, 3.138791323, 1.560546557, -0.001917601, -1.568312009, 0.026005606, 0.203107108, -5.367992455, -4.070807857, -0.194127051
5, 1763488911.659956, 0.000703891, -3.118793964, 3.138783375, 1.560549577, -0.001911481, -1.568299611, 0.026000559, 0.203101077, -5.367991392, -4.070807867, -0.194113020
6, 1763488911.692771, 0.000696580, -3.118786494, 3.138788700, 1.560546557, -0.001917521, -1.568293571, 0.026010732, 0.203094623, -5.367983294, -4.070806975, -0.194109868
7, 1763488911.723358, 0.000703971, -3.118798892, 3.138791323, 1.560552637, -0.001920621, -1.568296591, 0.025997996, 0.203085706, -5.367983009, -4.070807598, -0.194096318
8, 1763488911.762654, 0.000701427, -3.118786494, 3.138788700, 1.560549577, -0.001905362, -1.568305810, 0.025997996, 0.203075798, -5.367984100, -4.070807270, -0.194091364
9, 1763488911.810546, 0.000703971, -3.118788878, 3.138786077, 1.560546557, -0.001899322, -1.568299770, 0.025995473, 0.203064930, -5.367985873, -4.070806965, -0.194076375
10, 1763488911.847166, 0.000703891, -3.118793964, 3.138791323, 1.560546557, -0.001911481, -1.568290552, 0.026005646, 0.203043678, -5.367984562, -4.070807496, -0.194061882
11, 1763488911.87956, 0.000706355, -3.118793964, 3.138799349, 1.560558716, -0.001923641, -1.568296591, 0.026003083, 0.203037511, -5.367981624, -4.070806849, -0.194051918
12, 1763488911.9019032, 0.000703891, -3.118801435, 3.138786077, 1.560549617, -0.001899322, -1.568287373, 0.026000559, 0.203032138, -5.367978957, -4.070806071, -0.194034604
