# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_144535
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_yaw, body_roll, body_pitch
# Body pose: x, y, z in odom frame (meters), yaw/roll/pitch (EulerZXY) in radians for SE2 and footprint_R_body

19, 1763495136.251449, 0.000713666, -3.118840853, 3.139004469, 1.560750445, -0.002179344, -1.568384965, 0.023191492, 0.444613744, -5.530588113, -4.263500409, -0.077606133, 0.003616238, 0.013212966
20, 1763495136.291038, 0.000708739, -3.118838310, 3.139001846, 1.560744365, -0.002173225, -1.568391005, 0.023201664, 0.444619466, -5.530593729, -4.263500153, -0.077601357, 0.003626680, 0.013217627
21, 1763495136.323858, 0.000713666, -3.118821144, 3.139001846, 1.560747425, -0.002170205, -1.568384965, 0.023186445, 0.444625960, -5.530597616, -4.263501157, -0.077594703, 0.003643643, 0.013231891
22, 1763495136.357692, 0.000711203, -3.118843238, 3.139004469, 1.560753504, -0.002182325, -1.568397045, 0.023194055, 0.444625917, -5.530596802, -4.263499581, -0.077596737, 0.003636098, 0.013213166
23, 1763495136.38591, 0.000706275, -3.118838390, 3.139001846, 1.560753465, -0.002170165, -1.568391005, 0.023196618, 0.444627426, -5.530597616, -4.263499856, -0.077599948, 0.003641868, 0.013230029
24, 1763495136.4134982, 0.000713746, -3.118833462, 3.139001767, 1.560738246, -0.002182404, -1.568384965, 0.023183882, 0.444638533, -5.530596781, -4.263498500, -0.077603825, 0.003630575, 0.013229041
25, 1763495136.440211, 0.000703812, -3.118845622, 3.138999144, 1.560735186, -0.002173225, -1.568375746, 0.023183882, 0.444636930, -5.530598746, -4.263499447, -0.077604006, 0.003639007, 0.013235009
26, 1763495136.465232, 0.000716130, -3.118826071, 3.139007092, 1.560738246, -0.002182404, -1.568384965, 0.023201704, 0.444652363, -5.530606690, -4.263497691, -0.077599667, 0.003643427, 0.013254398
27, 1763495136.4937449, 0.000718594, -3.118833462, 3.138999144, 1.560738246, -0.002179344, -1.568372726, 0.023201704, 0.444653849, -5.530604779, -4.263498657, -0.077604792, 0.003646193, 0.013258231
28, 1763495136.531156, 0.000708818, -3.118835926, 3.139001846, 1.560738246, -0.002188444, -1.568381945, 0.023194015, 0.444659321, -5.530607556, -4.263495907, -0.077611927, 0.003648972, 0.013254213
29, 1763495136.56394, 0.000713666, -3.118830999, 3.139001846, 1.560741305, -0.002173225, -1.568381945, 0.023204227, 0.444651795, -5.530606373, -4.263495166, -0.077622621, 0.003658245, 0.013237381
30, 1763495136.596813, 0.000711203, -3.118838390, 3.138999144, 1.560738246, -0.002185345, -1.568394025, 0.023186405, 0.444645739, -5.530604827, -4.263496081, -0.077592692, 0.003656450, 0.013225847
31, 1763495136.627937, 0.000716209, -3.118840774, 3.139001767, 1.560741305, -0.002173225, -1.568381945, 0.023196578, 0.444638261, -5.530600433, -4.263496898, -0.077588382, 0.003640878, 0.013206394
32, 1763495136.665874, 0.000708818, -3.118833462, 3.138999144, 1.560747425, -0.002176245, -1.568384965, 0.023188968, 0.444640570, -5.530598565, -4.263495965, -0.077599564, 0.003627243, 0.013197448
33, 1763495136.697448, 0.000711203, -3.118843238, 3.139001767, 1.560756524, -0.002176285, -1.568375746, 0.023196578, 0.444637244, -5.530588650, -4.263499247, -0.077585226, 0.003619979, 0.013202601
34, 1763495136.7357178, 0.000708739, -3.118833462, 3.138996442, 1.560744365, -0.002185345, -1.568369706, 0.023199141, 0.444638486, -5.530588149, -4.263496270, -0.077551649, 0.003628477, 0.013180191
35, 1763495136.763262, 0.000713666, -3.118833462, 3.139004469, 1.560753465, -0.002179305, -1.568375905, 0.023178796, 0.444631306, -5.530594028, -4.263497451, -0.077547556, 0.003637929, 0.013178076
36, 1763495136.799366, 0.000721057, -3.118840853, 3.139004469, 1.560750484, -0.002167145, -1.568384965, 0.023191492, 0.444636673, -5.530591404, -4.263496096, -0.077527739, 0.003629374, 0.013178779
37, 1763495136.8278568, 0.000713666, -3.118835847, 3.139001846, 1.560744325, -0.002191544, -1.568369865, 0.023196578, 0.444639676, -5.530581618, -4.263495338, -0.077516729, 0.003613258, 0.013184091
38, 1763495136.85422, 0.000708739, -3.118835926, 3.138999144, 1.560747385, -0.002167106, -1.568387985, 0.023191492, 0.444643067, -5.530580541, -4.263494088, -0.077509964, 0.003603574, 0.013170207
39, 1763495136.881365, 0.000716130, -3.118835926, 3.138996442, 1.560741305, -0.002176325, -1.568384965, 0.023194015, 0.444632571, -5.530578584, -4.263496048, -0.077500046, 0.003603716, 0.013164596
40, 1763495136.919011, 0.000711203, -3.118830999, 3.138996442, 1.560747385, -0.002170165, -1.568384965, 0.023201664, 0.444637893, -5.530560714, -4.263496181, -0.077516599, 0.003574797, 0.013159236
41, 1763495136.94447, 0.000713746, -3.118828535, 3.138999144, 1.560747385, -0.002164125, -1.568381945, 0.023191492, 0.444642885, -5.530561355, -4.263495473, -0.077511489, 0.003578024, 0.013172672
42, 1763495136.9726982, 0.000708818, -3.118838390, 3.138996442, 1.560744365, -0.002179344, -1.568372726, 0.023196618, 0.444653912, -5.530560229, -4.263497153, -0.077527392, 0.003569110, 0.013187470
43, 1763495137.003977, 0.000713746, -3.118833462, 3.139001767, 1.560744365, -0.002179305, -1.568381945, 0.023201664, 0.444657552, -5.530557015, -4.263493055, -0.077530425, 0.003580057, 0.013176930
44, 1763495137.0341, 0.000711203, -3.118828535, 3.139001846, 1.560747425, -0.002176245, -1.568378925, 0.023199141, 0.444663359, -5.530566277, -4.263496269, -0.077532217, 0.003592053, 0.013200351
45, 1763495137.058864, 0.000716130, -3.118835926, 3.138999144, 1.560735226, -0.002185424, -1.568387985, 0.023191492, 0.444670516, -5.530567770, -4.263497300, -0.077521750, 0.003596170, 0.013198691
46, 1763495137.084206, 0.000708818, -3.118843158, 3.139001846, 1.560744325, -0.002185424, -1.568397045, 0.023188968, 0.444671330, -5.530567223, -4.263494690, -0.077519520, 0.003589609, 0.013199015
47, 1763495137.109493, 0.000711203, -3.118838310, 3.139004469, 1.560747425, -0.002188484, -1.568378766, 0.023196578, 0.444677172, -5.530554487, -4.263497110, -0.077511440, 0.003572350, 0.013207678
48, 1763495137.133549, 0.000713666, -3.118838390, 3.138999144, 1.560741305, -0.002176245, -1.568372885, 0.023196578, 0.444680824, -5.530557739, -4.263495646, -0.077504476, 0.003583991, 0.013204707
49, 1763495137.161205, 0.000713666, -3.118828535, 3.139004469, 1.560741305, -0.002182364, -1.568381945, 0.023199141, 0.444676593, -5.530566613, -4.263494505, -0.077499745, 0.003588494, 0.013195499
50, 1763495137.201848, 0.000713666, -3.118843238, 3.139004469, 1.560741305, -0.002182364, -1.568369865, 0.023194055, 0.444669924, -5.530556675, -4.263495659, -0.077486266, 0.003572600, 0.013177573
51, 1763495137.243449, 0.000703891, -3.118838390, 3.138999144, 1.560738246, -0.002179305, -1.568372726, 0.023191492, 0.444671003, -5.530557529, -4.263497940, -0.077472626, 0.003577198, 0.013175795
52, 1763495137.313113, 0.000718673, -3.118835926, 3.139001767, 1.560750484, -0.002161066, -1.568387985, 0.023188968, 0.444669273, -5.530559605, -4.263497550, -0.077475489, 0.003581356, 0.013161392
53, 1763495137.372092, 0.000706355, -3.118838310, 3.139004469, 1.560741305, -0.002167145, -1.568381945, 0.023196578, 0.444671000, -5.530555678, -4.263499164, -0.077460618, 0.003591362, 0.013159339
54, 1763495137.447229, 0.000701427, -3.118833462, 3.139001846, 1.560747385, -0.002176245, -1.568360647, 0.023181359, 0.444675796, -5.530543583, -4.263500157, -0.077464073, 0.003568918, 0.013167743
55, 1763495137.482354, 0.000716130, -3.118828535, 3.139001846, 1.560747385, -0.002194564, -1.568378766, 0.023199101, 0.444687422, -5.530532859, -4.263500855, -0.077445612, 0.003538306, 0.013168824
56, 1763495137.541263, 0.000711203, -3.118826071, 3.139004469, 1.560741305, -0.002179344, -1.568375905, 0.023199141, 0.444704592, -5.530533227, -4.263500580, -0.077439957, 0.003550523, 0.013193626
57, 1763495137.585461, 0.000706355, -3.118843238, 3.139001846, 1.560753504, -0.002173225, -1.568381945, 0.023186405, 0.444707654, -5.530524476, -4.263502579, -0.077442716, 0.003521502, 0.013200029
58, 1763495137.63009, 0.000708739, -3.118833462, 3.139004469, 1.560744325, -0.002179305, -1.568378925, 0.023188968, 0.444722286, -5.530521193, -4.263498134, -0.077431843, 0.003519706, 0.013211756
59, 1763495137.670976, 0.000713666, -3.118835926, 3.138999144, 1.560732166, -0.002176245, -1.568387985, 0.023204227, 0.444733053, -5.530515021, -4.263499944, -0.077425463, 0.003509624, 0.013234530
60, 1763495137.7075148, 0.000713666, -3.118840853, 3.138999144, 1.560744365, -0.002170205, -1.568372726, 0.023194055, 0.444745470, -5.530514944, -4.263499186, -0.077429002, 0.003518160, 0.013250319
61, 1763495137.7331579, 0.000701507, -3.118835926, 3.138999144, 1.560741266, -0.002167106, -1.568378925, 0.023206751, 0.444748445, -5.530521580, -4.263498254, -0.077436466, 0.003526542, 0.013253646
62, 1763495137.769831, 0.000701427, -3.118840853, 3.138996442, 1.560744325, -0.002191464, -1.568387985, 0.023186445, 0.444754065, -5.530517081, -4.263499016, -0.077429270, 0.003521257, 0.013265238
63, 1763495137.797332, 0.000713666, -3.118838310, 3.139001767, 1.560747425, -0.002173225, -1.568397045, 0.023196578, 0.444760631, -5.530509835, -4.263497093, -0.077432783, 0.003516636, 0.013261329
64, 1763495137.838314, 0.000718673, -3.118828535, 3.139001767, 1.560753465, -0.002194643, -1.568397045, 0.023194015, 0.444761536, -5.530513157, -4.263499760, -0.077433027, 0.003521239, 0.013265823
65, 1763495137.863433, 0.000703891, -3.118833462, 3.138996442, 1.560747385, -0.002188444, -1.568387985, 0.023204227, 0.444767000, -5.530513800, -4.263501108, -0.077439618, 0.003530335, 0.013272280
66, 1763495137.894947, 0.000708739, -3.118828535, 3.138999144, 1.560747385, -0.002176325, -1.568387985, 0.023183882, 0.444783527, -5.530516809, -4.263501780, -0.077448006, 0.003535315, 0.013297502
67, 1763495137.928247, 0.000711203, -3.118823608, 3.138996442, 1.560738285, -0.002176245, -1.568391005, 0.023199141, 0.444789063, -5.530509320, -4.263501271, -0.077433245, 0.003516245, 0.013311104
68, 1763495137.967552, 0.000726064, -3.118833462, 3.138999144, 1.560735226, -0.002167106, -1.568391005, 0.023201664, 0.444799194, -5.530503281, -4.263500907, -0.077435182, 0.003509816, 0.013308081
69, 1763495138.0029361, 0.000713666, -3.118838310, 3.138996442, 1.560747385, -0.002173225, -1.568378925, 0.023199101, 0.444811522, -5.530504117, -4.263501869, -0.077444093, 0.003509161, 0.013319243
70, 1763495138.032193, 0.000708818, -3.118830999, 3.139001767, 1.560744365, -0.002176325, -1.568397045, 0.023186405, 0.444816148, -5.530506452, -4.263503265, -0.077441847, 0.003525993, 0.013330192
71, 1763495138.055318, 0.000706275, -3.118830999, 3.139001846, 1.560747425, -0.002185345, -1.568384965, 0.023186445, 0.444818909, -5.530508570, -4.263504816, -0.077446554, 0.003528124, 0.013338358
72, 1763495138.0809338, 0.000713666, -3.118835926, 3.138996442, 1.560747385, -0.002179344, -1.568378925, 0.023196578, 0.444825960, -5.530507815, -4.263504639, -0.077438866, 0.003532951, 0.013343041
73, 1763495138.1120708, 0.000713666, -3.118830999, 3.139004469, 1.560747425, -0.002182404, -1.568381786, 0.023194055, 0.444828958, -5.530515897, -4.263502885, -0.077437730, 0.003541355, 0.013336739
