# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_233817
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763440697.437333, 9.918212890625e-05, -3.119492292404175, 3.139073610305786, 1.5684477090835571, -0.0014549493789672852, -1.569711685180664, 0.022476494312286377, -1.4363202419501309, -4.245532733816732, -3.957961531718688, 1.402967041515189
1, 1763440697.4453802, 6.985664367675781e-05, -3.1194846630096436, 3.1390817165374756, 1.5684477090835571, -0.0014549493789672852, -1.5697026252746582, 0.022476494312286377, -1.436317683556607, -4.245536081837124, -3.957962814705719, 1.4029522357903015
2, 1763440697.471255, 7.724761962890625e-05, -3.119492292404175, 3.139065742492676, 1.5684386491775513, -0.001445770263671875, -1.5697298049926758, 0.022461235523223877, -1.4363294643523956, -4.2455315050431786, -3.9579619404030586, 1.4029481755989681
3, 1763440697.489816, 0.00010657310485839844, -3.119499444961548, 3.139073610305786, 1.5684294700622559, -0.001445770263671875, -1.5696935653686523, 0.022476494312286377, -1.4363274700144932, -4.245522275326031, -3.95795937087649, 1.4029474894789193
4, 1763440697.5096488, 9.179115295410156e-05, -3.1194775104522705, 3.139073610305786, 1.5684386491775513, -0.0014367103576660156, -1.5697298049926758, 0.022453665733337402, -1.436321024352029, -4.245521655058932, -3.957961916771525, 1.402952893646475
5, 1763440697.533615, 8.440017700195312e-05, -3.119499444961548, 3.139073610305786, 1.5684294700622559, -0.0014549493789672852, -1.56972074508667, 0.022468924522399902, -1.436329100019631, -4.245512195646379, -3.9579603860080166, 1.402950954615052
6, 1763440697.564873, 9.179115295410156e-05, -3.119499444961548, 3.1390817165374756, 1.5684477090835571, -0.0014367103576660156, -1.569711685180664, 0.022468924522399902, -1.4363310545796835, -4.245510876779216, -3.957959182189062, 1.402943597284307
7, 1763440697.576948, 6.985664367675781e-05, -3.119492292404175, 3.139073610305786, 1.5684386491775513, -0.0014367103576660156, -1.5697298049926758, 0.022484183311462402, -1.4363272325884704, -4.24551536714849, -3.9579607770471528, 1.4029442692720644
8, 1763440697.605, 7.724761962890625e-05, -3.119499444961548, 3.139073610305786, 1.5684477090835571, -0.001445770263671875, -1.5697026252746582, 0.022476494312286377, -1.4363270010522677, -4.2455141838609505, -3.9579595194490755, 1.4029332505416894
9, 1763440697.618461, 6.222724914550781e-05, -3.1194846630096436, 3.139073610305786, 1.5684477090835571, -0.0014367103576660156, -1.569711685180664, 0.022468924522399902, -1.4363230062427794, -4.245512421426722, -3.957958857433594, 1.4029380737865524
10, 1763440697.6407528, 8.440017700195312e-05, -3.119492292404175, 3.139073610305786, 1.5684294700622559, -0.0014731884002685547, -1.5697026252746582, 0.022468924522399902, -1.4363225085852889, -4.245509598622149, -3.9579591629479562, 1.4029421481114137
11, 1763440697.664512, 6.222724914550781e-05, -3.119507074356079, 3.139073610305786, 1.5684386491775513, -0.0014367103576660156, -1.569711685180664, 0.022468924522399902, -1.4363256228965224, -4.245513576890755, -3.9579570320992423, 1.4029373248669832
12, 1763440697.683289, 9.918212890625e-05, -3.1194846630096436, 3.139073610305786, 1.568466067314148, -0.0014731884002685547, -1.569711685180664, 0.022491812705993652, -1.4363293775350494, -4.24552269770344, -3.9579563900805192, 1.4029401180154986
13, 1763440697.703524, 7.724761962890625e-05, -3.119492292404175, 3.139073610305786, 1.5684386491775513, -0.001445770263671875, -1.5697388648986816, 0.022468924522399902, -1.4363097632708115, -4.2455305808857124, -3.9579612499276298, 1.4029347766470894
