# Arm joint positions collected at 50.0 Hz
# Timestamp: 20251029_213355
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage

70, 0.000689, -3.118091, 3.138498, 1.564640, 0.001375, -1.568342, 0.005995
71, 0.000674, -3.118084, 3.138506, 1.564640, 0.001385, -1.568351, 0.006018
72, 0.000660, -3.118084, 3.138506, 1.564640, 0.001375, -1.568360, 0.006018
73, 0.000689, -3.118098, 3.138506, 1.564659, 0.001412, -1.568351, 0.006003
74, 0.000697, -3.118098, 3.138498, 1.564631, 0.001412, -1.568370, 0.006010
75, 0.000682, -3.118084, 3.138515, 1.564659, 0.001412, -1.568342, 0.005987
76, 0.000674, -3.118098, 3.138506, 1.564649, 0.001394, -1.568360, 0.006018
77, 0.000667, -3.118091, 3.138515, 1.564649, 0.001412, -1.568351, 0.006003
78, 0.000682, -3.118106, 3.138498, 1.564668, 0.001394, -1.568324, 0.006018
79, 0.000689, -3.118076, 3.138506, 1.564649, 0.001394, -1.568351, 0.006010
80, 0.000674, -3.118091, 3.138506, 1.564659, 0.001385, -1.568351, 0.005995
81, 0.000660, -3.118098, 3.138506, 1.564649, 0.001394, -1.568360, 0.006003
82, 0.000682, -3.118113, 3.138498, 1.564668, 0.001385, -1.568342, 0.006010
83, 0.000667, -3.118091, 3.138506, 1.564649, 0.001385, -1.568333, 0.006003
84, 0.000682, -3.118091, 3.138506, 1.564640, 0.001403, -1.568360, 0.005987
85, 0.000674, -3.118091, 3.138506, 1.564659, 0.001412, -1.568342, 0.005980
86, 0.000674, -3.118091, 3.138506, 1.564649, 0.001394, -1.568333, 0.006003
87, 0.000689, -3.118106, 3.138506, 1.564659, 0.001421, -1.568360, 0.005995
88, 0.000682, -3.118098, 3.138506, 1.564631, 0.001421, -1.568342, 0.005987
89, 0.000682, -3.118091, 3.138506, 1.564640, 0.001394, -1.568324, 0.005987
90, 0.000674, -3.118098, 3.138506, 1.564649, 0.001403, -1.568333, 0.006018
91, 0.000689, -3.118091, 3.138506, 1.564640, 0.001403, -1.568370, 0.006010
92, 0.000674, -3.118084, 3.138506, 1.564649, 0.001394, -1.568351, 0.006018
93, 0.000682, -3.118091, 3.138506, 1.564668, 0.001385, -1.568342, 0.006010
94, 0.000660, -3.118091, 3.138506, 1.564640, 0.001394, -1.568351, 0.006010
95, 0.000674, -3.118098, 3.138515, 1.564649, 0.001394, -1.568333, 0.006010
96, 0.000674, -3.118091, 3.138506, 1.564640, 0.001394, -1.568342, 0.006003
97, 0.000689, -3.118091, 3.138506, 1.564659, 0.001385, -1.568351, 0.006010
98, 0.000674, -3.118106, 3.138506, 1.564659, 0.001403, -1.568333, 0.005995
99, 0.000674, -3.118091, 3.138506, 1.564668, 0.001366, -1.568333, 0.006010
100, 0.000682, -3.118084, 3.138506, 1.564659, 0.001385, -1.568342, 0.005995
101, 0.000682, -3.118091, 3.138515, 1.564659, 0.001375, -1.568351, 0.006010
102, 0.000674, -3.118091, 3.138506, 1.564649, 0.001421, -1.568342, 0.005995
103, 0.000689, -3.118098, 3.138506, 1.564649, 0.001394, -1.568333, 0.005995
104, 0.000674, -3.118091, 3.138506, 1.564640, 0.001385, -1.568342, 0.006025
105, 0.000667, -3.118091, 3.138506, 1.564659, 0.001385, -1.568342, 0.005995
106, 0.000667, -3.118076, 3.138506, 1.564668, 0.001385, -1.568333, 0.006010
107, 0.000674, -3.118113, 3.138515, 1.564659, 0.001366, -1.568360, 0.005980
108, 0.000660, -3.118091, 3.138515, 1.564631, 0.001357, -1.568333, 0.006003
109, 0.000638, -3.117833, 3.138490, 1.564649, 0.001412, -1.568342, 0.006003
110, 0.000962, -3.113452, 3.134648, 1.564595, 0.001485, -1.568370, 0.005537
111, 0.000158, -3.101468, 3.125428, 1.564640, 0.001339, -1.568351, 0.006369
112, 0.000224, -3.081445, 3.109129, 1.564585, 0.001458, -1.568397, 0.005812
113, 0.000542, -3.053273, 3.085600, 1.564576, 0.001458, -1.568424, 0.005514
114, 0.000320, -3.026377, 3.062974, 1.564631, 0.001385, -1.568388, 0.005911
115, 0.000291, -2.986051, 3.031511, 1.564686, 0.001403, -1.568388, 0.006094
116, 0.000475, -2.929691, 2.990973, 1.564695, 0.001403, -1.568360, 0.006003
117, 0.000431, -2.882086, 2.959119, 1.564759, 0.001403, -1.568351, 0.005987
118, 0.000992, -2.828958, 2.922742, 1.564595, 0.000362, -1.567785, 0.005774
119, 0.001073, -2.776323, 2.886798, 1.555637, -0.009874, -1.556865, 0.006438
120, 0.000741, -2.739117, 2.862358, 1.537832, -0.022520, -1.538402, 0.006499
121, 0.000468, -2.709831, 2.846339, 1.511773, -0.033614, -1.512753, 0.007170
122, 0.000777, -2.686998, 2.838829, 1.474017, -0.045593, -1.474751, 0.006247
123, 0.000623, -2.676732, 2.842025, 1.426901, -0.055692, -1.428522, 0.006087
124, 0.000512, -2.677138, 2.850765, 1.378736, -0.065106, -1.380941, 0.006125
125, 0.000424, -2.680368, 2.862206, 1.324435, -0.076017, -1.326530, 0.006010
126, 0.000379, -2.683502, 2.875365, 1.253744, -0.086573, -1.256451, 0.005980
127, 0.000424, -2.684763, 2.888907, 1.164965, -0.097520, -1.166896, 0.005888
128, 0.000446, -2.685066, 2.896569, 1.099132, -0.105958, -1.101364, 0.005812
129, 0.000313, -2.685014, 2.904495, 1.004609, -0.117207, -1.006284, 0.005850
130, 0.000328, -2.684358, 2.910007, 0.900518, -0.128081, -0.902686, 0.005888
131, 0.000328, -2.683532, 2.912452, 0.831498, -0.135213, -0.833282, 0.005827
132, 0.000261, -2.681039, 2.915184, 0.700625, -0.148854, -0.703150, 0.005934
133, 0.000254, -2.677831, 2.915528, 0.594169, -0.159437, -0.595890, 0.006025
134, 0.000402, -2.674158, 2.915049, 0.497373, -0.171982, -0.498920, 0.006018
135, 0.000328, -2.671275, 2.914369, 0.430307, -0.180977, -0.432347, 0.006102
136, 0.000269, -2.667624, 2.913299, 0.359032, -0.190527, -0.360305, 0.006033
137, 0.000424, -2.663841, 2.912476, 0.294184, -0.201265, -0.294855, 0.005995
138, 0.000409, -2.660264, 2.912020, 0.236368, -0.211537, -0.235742, 0.006094
139, 0.000328, -2.656886, 2.911917, 0.185025, -0.220330, -0.184062, 0.006102
140, 0.000129, -2.652388, 2.912172, 0.169302, -0.225946, -0.165398, 0.006590
141, -0.004849, -2.651090, 2.912388, 0.152949, -0.209757, -0.151546, 0.005796
142, -0.015867, -2.654843, 2.911253, 0.138833, -0.191833, -0.138864, 0.005407
143, -0.021111, -2.657027, 2.909504, 0.127702, -0.191952, -0.126693, 0.005796
144, -0.019607, -2.655183, 2.905381, 0.115165, -0.193440, -0.114192, 0.005949
145, -0.018205, -2.649430, 2.899845, 0.101359, -0.196828, -0.101646, 0.005919
146, -0.020366, -2.644828, 2.896441, 0.093187, -0.200973, -0.094406, 0.005964
147, -0.023397, -2.638294, 2.892734, 0.085207, -0.207684, -0.086371, 0.006163
148, -0.023611, -2.632335, 2.890465, 0.079491, -0.212012, -0.079942, 0.006270
149, -0.023456, -2.625285, 2.889003, 0.071182, -0.215710, -0.071971, 0.006178
150, -0.024754, -2.620926, 2.888939, 0.065210, -0.216988, -0.067032, 0.006003
151, -0.026251, -2.616818, 2.890337, 0.061138, -0.221298, -0.062411, 0.006193
152, -0.026561, -2.612762, 2.892814, 0.057130, -0.228639, -0.059636, 0.006117
153, -0.026443, -2.608935, 2.895906, 0.054883, -0.235205, -0.056613, 0.006186
154, -0.026989, -2.604289, 2.900196, 0.050117, -0.239459, -0.052541, 0.006155
155, -0.027660, -2.601759, 2.903544, 0.048026, -0.241934, -0.050386, 0.005819
156, -0.028169, -2.597208, 2.909136, 0.046319, -0.252827, -0.048770, 0.006422
157, -0.028043, -2.590608, 2.916207, 0.042712, -0.262588, -0.045629, 0.006025
158, -0.028184, -2.585719, 2.922215, 0.040694, -0.269984, -0.043538, 0.006125
159, -0.028707, -2.580519, 2.928479, 0.040566, -0.275654, -0.041648, 0.005972
160, -0.028707, -2.573447, 2.934144, 0.040503, -0.284867, -0.039876, 0.006117
161, -0.028516, -2.567436, 2.937323, 0.040247, -0.290893, -0.039046, 0.005850
162, -0.028567, -2.559641, 2.940479, 0.038229, -0.298993, -0.038854, 0.005842
163, -0.028619, -2.553660, 2.942333, 0.036914, -0.304937, -0.038836, 0.005964
164, -0.028567, -2.548188, 2.943547, 0.035517, -0.309940, -0.038808, 0.006087
165, -0.028545, -2.541779, 2.944146, 0.033545, -0.314433, -0.038790, 0.005987
166, -0.028486, -2.535392, 2.944274, 0.033390, -0.321089, -0.038698, 0.005911
167, -0.028582, -2.529544, 2.944210, 0.033381, -0.328047, -0.038607, 0.006125
168, -0.028574, -2.524676, 2.944042, 0.033326, -0.332302, -0.038050, 0.006033
169, -0.028471, -2.519861, 2.944146, 0.033326, -0.336100, -0.035932, 0.006079
170, -0.028508, -2.515096, 2.944354, 0.033289, -0.339095, -0.035594, 0.005926
171, -0.028530, -2.509787, 2.944777, 0.033262, -0.342802, -0.035603, 0.005880
172, -0.028479, -2.505177, 2.945257, 0.033271, -0.347304, -0.035576, 0.006003
173, -0.028434, -2.499978, 2.945800, 0.033225, -0.352983, -0.035576, 0.005896
174, -0.028449, -2.496224, 2.946200, 0.033216, -0.357238, -0.035567, 0.005987
175, -0.028324, -2.491224, 2.946615, 0.033216, -0.361785, -0.035576, 0.005972
176, -0.028265, -2.488333, 2.946703, 0.033198, -0.363128, -0.035594, 0.005972
177, -0.028021, -2.485442, 2.946631, 0.033180, -0.363091, -0.035548, 0.005987
178, -0.027711, -2.482986, 2.946743, 0.033180, -0.363128, -0.035558, 0.005995
179, -0.027409, -2.481069, 2.946911, 0.033143, -0.363301, -0.035539, 0.005949
180, -0.027284, -2.478886, 2.947310, 0.033152, -0.367145, -0.035567, 0.006102
181, -0.027247, -2.477152, 2.947254, 0.033134, -0.369610, -0.035548, 0.005942
182, -0.027232, -2.476334, 2.947150, 0.033134, -0.370569, -0.035548, 0.006003
183, -0.027181, -2.475722, 2.947062, 0.033143, -0.370587, -0.035558, 0.006071
184, -0.027144, -2.475110, 2.946999, 0.033143, -0.370615, -0.035558, 0.006064
185, -0.027063, -2.473930, 2.946959, 0.033125, -0.370606, -0.035539, 0.005980
186, -0.026922, -2.473406, 2.947094, 0.033134, -0.370587, -0.035530, 0.005949
187, -0.026790, -2.472927, 2.947206, 0.033125, -0.370578, -0.035530, 0.005957
188, -0.026531, -2.472469, 2.947246, 0.033134, -0.370624, -0.035567, 0.005995
189, -0.026406, -2.472034, 2.947198, 0.033143, -0.370615, -0.035558, 0.005995
190, -0.026384, -2.471599, 2.947190, 0.033116, -0.370642, -0.035558, 0.005987
191, -0.026288, -2.471422, 2.947230, 0.033125, -0.370660, -0.035539, 0.005987
192, -0.026214, -2.471348, 2.947358, 0.033125, -0.370624, -0.035558, 0.005980
193, -0.026141, -2.471400, 2.947542, 0.033125, -0.370642, -0.035576, 0.005980
194, -0.026008, -2.471452, 2.947678, 0.033125, -0.370624, -0.035576, 0.005980
195, -0.025942, -2.471496, 2.947742, 0.033107, -0.370633, -0.035530, 0.005987
196, -0.025772, -2.471577, 2.947805, 0.033125, -0.370633, -0.035567, 0.005964
197, -0.025521, -2.471673, 2.947805, 0.033125, -0.370624, -0.035539, 0.005972
198, -0.025219, -2.471695, 2.947782, 0.033143, -0.370624, -0.035539, 0.005972
199, -0.025167, -2.471717, 2.947798, 0.033125, -0.370633, -0.035548, 0.005995
200, -0.025211, -2.471761, 2.947845, 0.033134, -0.370615, -0.035567, 0.005987
201, -0.025138, -2.471865, 2.947933, 0.033116, -0.370587, -0.035539, 0.005980
202, -0.025086, -2.472034, 2.948045, 0.033134, -0.370587, -0.035567, 0.005964
203, -0.025071, -2.472182, 2.948157, 0.033107, -0.370560, -0.035548, 0.006010
204, -0.024953, -2.472226, 2.948181, 0.033125, -0.370551, -0.035585, 0.005972
205, -0.024821, -2.472256, 2.948221, 0.033125, -0.370533, -0.035567, 0.005987
206, -0.024732, -2.472344, 2.948229, 0.033107, -0.370496, -0.035567, 0.005995
207, -0.024621, -2.472425, 2.948237, 0.033107, -0.370515, -0.035576, 0.005987
208, -0.024415, -2.472536, 2.948253, 0.033116, -0.370487, -0.035558, 0.005980
209, -0.024231, -2.472742, 2.948317, 0.033116, -0.370487, -0.035539, 0.006003
210, -0.024098, -2.473082, 2.948397, 0.033125, -0.370469, -0.035567, 0.005980
211, -0.024031, -2.473244, 2.948421, 0.033125, -0.370478, -0.035585, 0.006003
212, -0.023980, -2.473377, 2.948405, 0.033116, -0.370460, -0.035539, 0.005995
213, -0.023921, -2.473554, 2.948477, 0.033125, -0.370469, -0.035530, 0.006003
214, -0.023869, -2.473907, 2.948628, 0.033125, -0.370423, -0.035548, 0.005964
215, -0.023788, -2.474387, 2.948828, 0.033116, -0.370386, -0.035567, 0.005995
216, -0.023729, -2.474844, 2.949004, 0.033134, -0.370350, -0.035594, 0.005949
217, -0.023714, -2.475287, 2.949180, 0.033116, -0.370323, -0.035585, 0.005980
218, -0.023626, -2.464298, 2.949435, 0.033052, -0.382494, -0.035503, 0.005751
219, -0.021849, -2.414503, 2.944993, 0.033088, -0.437434, -0.035640, 0.008896
220, -0.020145, -2.340606, 2.927113, 0.033225, -0.480011, -0.035466, 0.011498
221, -0.017785, -2.243670, 2.889594, 0.033234, -0.512499, -0.035494, 0.005338
222, -0.016546, -2.196618, 2.866872, 0.033782, -0.532240, -0.035695, 0.005712
223, -0.012918, -2.125163, 2.824368, 0.038977, -0.567786, -0.037046, 0.005888
224, -0.010262, -2.081607, 2.795518, 0.042338, -0.590111, -0.039438, 0.005995
225, -0.008028, -2.030897, 2.761115, 0.043634, -0.614709, -0.041739, 0.005903
226, -0.007150, -1.972539, 2.721727, 0.044757, -0.640605, -0.042616, 0.006087
227, -0.006959, -1.922707, 2.687221, 0.046821, -0.658748, -0.042625, 0.006132
228, -0.006907, -1.876046, 2.653928, 0.047542, -0.673622, -0.042607, 0.006125
