# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_225818
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, -0.016383886337280273, -0.7760341167449951, 2.204224109649658, 0.016588687896728516, -1.4637221097946167, -0.009552955627441406, 0.9577267456054688, -1.8009145736282661, -5.385645972765441, -4.035928268775413, -0.13132385135954117
1, -0.016383886337280273, -0.7760415077209473, 2.204240322113037, 0.016579627990722656, -1.4644161462783813, -0.009534597396850586, 0.9577344512939453, -1.8008993760204348, -5.38564706491501, -4.035927001660244, -0.1313258785612943
2, -0.016376256942749023, -0.7760710716247559, 2.2042481899261475, 0.016588687896728516, -1.4645897150039673, -0.009552955627441406, 0.9577344512939453, -1.8008907286460234, -5.385648613767958, -4.035923820496598, -0.1313285183689077
3, -0.016376256942749023, -0.7760782241821289, 2.2042481899261475, 0.016588687896728516, -1.4645806550979614, -0.009552955627441406, 0.9577420043945313, -1.800910514970639, -5.385644415264907, -4.035923341796421, -0.13132267171947287
4, -0.016368865966796875, -0.7761077880859375, 2.2042880058288574, 0.016588687896728516, -1.4645076990127563, -0.009543657302856445, 0.9577267456054688, -1.8009070483380898, -5.385641361079764, -4.035924372683445, -0.13132147952317652
5, -0.016368865966796875, -0.7761003971099854, 2.2043120861053467, 0.016597986221313477, -1.464525818824768, -0.009552955627441406, 0.9577344512939453, -1.800889723513227, -5.385641377527015, -4.035925957392121, -0.13132773351556004
6, -0.016368865966796875, -0.7761003971099854, 2.2043120861053467, 0.016588687896728516, -1.4644347429275513, -0.009543657302856445, 0.9577420043945313, -1.8008978391322388, -5.385650469042255, -4.035935202454706, -0.13134270738116172
7, -0.016368865966796875, -0.7761003971099854, 2.204319953918457, 0.016597986221313477, -1.4644161462783813, -0.009571075439453125, 0.9577420043945313, -1.8008883680256391, -5.385653220223548, -4.0359325408549225, -0.1313197585115704
8, -0.016368865966796875, -0.776129961013794, 2.2043440341949463, 0.016579627990722656, -1.4644438028335571, -0.009562015533447266, 0.9577344512939453, -1.8008810068112697, -5.3856554760665905, -4.035924601016696, -0.13132314325009276
9, -0.016368865966796875, -0.7761447429656982, 2.2043519020080566, 0.016588687896728516, -1.4644070863723755, -0.009543657302856445, 0.9577344512939453, -1.8008955281044348, -5.385655358843753, -4.035925720307912, -0.13132569220747392
