# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_143716
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_yaw, body_roll, body_pitch
# Body pose: x, y, z in odom frame (meters), yaw/roll/pitch (EulerZXY) in radians for SE2 and footprint_R_body

0, 1763494636.711385, 0.000662088, -3.119612614, 3.139126937, 1.568414291, -0.002258380, -1.569867134, 0.020153483, 0.452507881, -5.532219104, -4.262182671, -0.074787629, 0.000149413, 0.013927215
1, 1763494636.738642, 0.000662088, -3.119610230, 3.139132261, 1.568414251, -0.002264500, -1.569876353, 0.020153483, 0.452510115, -5.532218393, -4.262181363, -0.074790089, 0.000149286, 0.013925795
2, 1763494636.7663229, 0.000649850, -3.119605303, 3.139132261, 1.568411191, -0.002264420, -1.569879214, 0.020140727, 0.452508567, -5.532215560, -4.262182478, -0.074789610, 0.000143139, 0.013922443
3, 1763494636.7974331, 0.000657161, -3.119602919, 3.139137506, 1.568414251, -0.002252261, -1.569873174, 0.020145853, 0.452504654, -5.532215128, -4.262179214, -0.074797777, 0.000140757, 0.013898973
4, 1763494636.836738, 0.000647386, -3.119602919, 3.139129639, 1.568402092, -0.002264500, -1.569870154, 0.020150940, 0.452493065, -5.532213225, -4.262180559, -0.074797572, 0.000136143, 0.013892779
5, 1763494636.866272, 0.000654777, -3.119605223, 3.139137506, 1.568405112, -0.002264500, -1.569873333, 0.020140767, 0.452484025, -5.532216422, -4.262180068, -0.074795554, 0.000150890, 0.013868008
6, 1763494636.896009, 0.000649850, -3.119602919, 3.139129639, 1.568414291, -0.002246221, -1.569888592, 0.020156006, 0.452485507, -5.532218408, -4.262180103, -0.074785854, 0.000138172, 0.013883156
7, 1763494636.92799, 0.000657241, -3.119602760, 3.139129639, 1.568408171, -0.002258380, -1.569861094, 0.020140747, 0.452487525, -5.532214829, -4.262177902, -0.074789061, 0.000140653, 0.013873439
8, 1763494636.9632099, 0.000664632, -3.119605223, 3.139132261, 1.568411231, -0.002264500, -1.569864114, 0.020145833, 0.452474139, -5.532221181, -4.262178203, -0.074794341, 0.000152727, 0.013859727
9, 1763494636.992239, 0.000659625, -3.119605382, 3.139137506, 1.568408171, -0.002252340, -1.569876194, 0.020143290, 0.452481343, -5.532220756, -4.262178957, -0.074782067, 0.000145195, 0.013861791
10, 1763494637.017617, 0.000652313, -3.119607687, 3.139137506, 1.568402052, -0.002270619, -1.569867134, 0.020150940, 0.452472482, -5.532217711, -4.262180637, -0.074795883, 0.000134366, 0.013855691
11, 1763494637.059564, 0.000657161, -3.119597912, 3.139129559, 1.568429470, -0.002267520, -1.569882393, 0.020140747, 0.452471374, -5.532223347, -4.262180398, -0.074823057, 0.000142695, 0.013849272
12, 1763494637.095123, 0.000657161, -3.119607687, 3.139134884, 1.568414251, -0.002243201, -1.569891612, 0.020148377, 0.452471101, -5.532229875, -4.262178050, -0.074855808, 0.000150192, 0.013835420
