# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_233935
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763440775.853014, 5.4836273193359375e-05, -3.119285821914673, 3.139073610305786, 1.568712592124939, -0.001710653305053711, -1.5697755813598633, 0.022499442100524902, -1.5919645389596195, -5.245199650946574, -3.971735779317703, -0.16124685729947963
1, 1763440775.859563, 6.985664367675781e-05, -3.119285821914673, 3.139073610305786, 1.5686942338943481, -0.0016832351684570312, -1.569793701171875, 0.022499442100524902, -1.591959915488121, -5.245195234585917, -3.9717336615047047, -0.1612522629560793
2, 1763440775.886168, 4.00543212890625e-05, -3.119292974472046, 3.139073610305786, 1.5687216520309448, -0.0016739368438720703, -1.569793701171875, 0.022499442100524902, -1.5919582815123936, -5.245190926623736, -3.971736275896525, -0.16123808612541968
3, 1763440775.905486, 5.4836273193359375e-05, -3.1192784309387207, 3.139065742492676, 1.5686942338943481, -0.0016832351684570312, -1.5697665214538574, 0.022514700889587402, -1.5919402482086482, -5.245188064888128, -3.9717329915862303, -0.16123250223005048
4, 1763440775.929116, 5.4836273193359375e-05, -3.1192784309387207, 3.139065742492676, 1.5686942338943481, -0.00170135498046875, -1.5697755813598633, 0.022507071495056152, -1.5919401412058443, -5.245187740740811, -3.971736366366069, -0.1612587222865569
5, 1763440775.951863, 6.222724914550781e-05, -3.119285821914673, 3.139065742492676, 1.568712592124939, -0.001710653305053711, -1.5697846412658691, 0.022529959678649902, -1.5919274497906415, -5.245196457572114, -3.971735726967591, -0.1612688503530224
6, 1763440775.9739132, 4.744529724121094e-05, -3.119285821914673, 3.139073610305786, 1.5687034130096436, -0.001710653305053711, -1.569803237915039, 0.022514700889587402, -1.5919175863577548, -5.245202164765762, -3.9717336330725614, -0.1612665140533336
7, 1763440775.998424, 6.222724914550781e-05, -3.119292974472046, 3.139073610305786, 1.5687216520309448, -0.0017197132110595703, -1.569793701171875, 0.022507071495056152, -1.5919194421559215, -5.24519183378875, -3.9717378116570923, -0.161257960424269
8, 1763440776.01958, 6.985664367675781e-05, -3.119285821914673, 3.139065742492676, 1.5687216520309448, -0.0017197132110595703, -1.5697755813598633, 0.022514700889587402, -1.5919110887802597, -5.245188535251491, -3.97173460602205, -0.1612897102127988
9, 1763440776.0397282, 5.4836273193359375e-05, -3.119300365447998, 3.139065742492676, 1.5687216520309448, -0.001710653305053711, -1.5697846412658691, 0.022499442100524902, -1.5918947062940925, -5.245180430607438, -3.971737213953199, -0.1612846016210563
10, 1763440776.0605729, 5.4836273193359375e-05, -3.119292974472046, 3.139073610305786, 1.568712592124939, -0.0016832351684570312, -1.5697755813598633, 0.022507071495056152, -1.5918866784592849, -5.245192919838553, -3.971738605551345, -0.16128395768492343
11, 1763440776.085817, 6.222724914550781e-05, -3.1192784309387207, 3.1390576362609863, 1.5687216520309448, -0.0017287731170654297, -1.5697665214538574, 0.022491812705993652, -1.5918819247279563, -5.245193787485794, -3.971735304880639, -0.16129211027969692
12, 1763440776.107019, 4.744529724121094e-05, -3.119285821914673, 3.139073610305786, 1.568712592124939, -0.0016922950744628906, -1.569812297821045, 0.022491812705993652, -1.5918843653125911, -5.245187937453194, -3.971741828992705, -0.1613031094319881
13, 1763440776.1326709, 6.222724914550781e-05, -3.119285821914673, 3.139065742492676, 1.568712592124939, -0.0016922950744628906, -1.569793701171875, 0.022522330284118652, -1.5918836103611957, -5.24519950053321, -3.9717378893044026, -0.16129052624089812
14, 1763440776.151902, 4.744529724121094e-05, -3.119300365447998, 3.139065742492676, 1.5687216520309448, -0.00170135498046875, -1.5697846412658691, 0.022499442100524902, -1.591863400750201, -5.245207703695379, -3.9717344660892766, -0.16130988593274864
15, 1763440776.180299, 5.4836273193359375e-05, -3.119300365447998, 3.139065742492676, 1.568712592124939, -0.0016922950744628906, -1.5697846412658691, 0.022522330284118652, -1.5918628186674881, -5.245210511254097, -3.971739165940172, -0.16132265171863658
16, 1763440776.217083, 5.4836273193359375e-05, -3.1192784309387207, 3.139073610305786, 1.568712592124939, -0.0016922950744628906, -1.569793701171875, 0.022514700889587402, -1.5918635532448642, -5.245212169620349, -3.9717396248063905, -0.16132636411498158
17, 1763440776.2387252, 4.744529724121094e-05, -3.1192784309387207, 3.139073610305786, 1.5687308311462402, -0.0016922950744628906, -1.5697755813598633, 0.022491812705993652, -1.5918418066523718, -5.245214312177263, -3.9717406010898366, -0.1613266113709404
18, 1763440776.2479339, 6.222724914550781e-05, -3.1192636489868164, 3.139065742492676, 1.5687034130096436, -0.0016832351684570312, -1.5697665214538574, 0.022514700889587402, -1.591836251304518, -5.2452130605541925, -3.971739177898003, -0.1613257306773379
19, 1763440776.271797, 5.4836273193359375e-05, -3.119292974472046, 3.139065742492676, 1.5686851739883423, -0.0016832351684570312, -1.5697755813598633, 0.022499442100524902, -1.59183037563627, -5.245219223396574, -3.9717387609266543, -0.16133044259282947
20, 1763440776.3008928, 4.744529724121094e-05, -3.1192710399627686, 3.1390576362609863, 1.568712592124939, -0.00170135498046875, -1.5697846412658691, 0.022507071495056152, -1.5918167658685975, -5.245228656803154, -3.971735000345023, -0.16132585910810704
21, 1763440776.320141, 6.222724914550781e-05, -3.1192784309387207, 3.139065742492676, 1.5687034130096436, -0.0017197132110595703, -1.5697846412658691, 0.022491812705993652, -1.5918138005279685, -5.245227798136545, -3.9717363650162887, -0.16133366483616118
