# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130905
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763489345.189365, 0.001158635, -3.120158513, 2.980485042, 1.548405608, -0.002273639, -1.564361095, 0.032297989, 0.178216853, -5.356460256, -3.886558786, -0.178064561
1, 1763489345.213432, 0.001153708, -3.120156050, 2.980485042, 1.548408667, -0.002279679, -1.564358075, 0.032300532, 0.178223113, -5.356472084, -3.886556016, -0.178069206
2, 1763489345.244905, 0.001153708, -3.120165825, 2.980477095, 1.548405608, -0.002288818, -1.564361095, 0.032310704, 0.178226072, -5.356477562, -3.886557750, -0.178079397
3, 1763489345.269418, 0.001151323, -3.120158434, 2.980487744, 1.548402548, -0.002273639, -1.564364115, 0.032313248, 0.178226716, -5.356471107, -3.886558881, -0.178081979
4, 1763489345.296305, 0.001143932, -3.120160898, 2.980482340, 1.548396468, -0.002294938, -1.564358075, 0.032305618, 0.178233379, -5.356472284, -3.886557852, -0.178091565
5, 1763489345.3245041, 0.001161098, -3.120165825, 2.980485042, 1.548396508, -0.002270619, -1.564367135, 0.032313248, 0.178233272, -5.356461751, -3.886559622, -0.178085453
6, 1763489345.357462, 0.001151244, -3.120153586, 2.980482340, 1.548411687, -0.002301057, -1.564361254, 0.032290359, 0.178237029, -5.356464050, -3.886556953, -0.178084966
7, 1763489345.382855, 0.001156171, -3.120163361, 2.980482340, 1.548405647, -0.002270619, -1.564370314, 0.032300532, 0.178233686, -5.356462281, -3.886556938, -0.178090677
8, 1763489345.406209, 0.001156171, -3.120163361, 2.980487744, 1.548405608, -0.002279679, -1.564361095, 0.032300532, 0.178229154, -5.356450616, -3.886556959, -0.178083910
9, 1763489345.53901, 0.001148860, -3.120158434, 2.980490446, 1.548399568, -0.002282699, -1.564373334, 0.032303075, 0.178213878, -5.356441113, -3.886557261, -0.178117405
10, 1763489345.566664, 0.001146317, -3.120151122, 2.980485042, 1.548405608, -0.002288818, -1.564373334, 0.032297989, 0.178199961, -5.356441312, -3.886557019, -0.178114632
11, 1763489345.59476, 0.001161098, -3.120165825, 2.980482340, 1.548411687, -0.002291918, -1.564376513, 0.032290359, 0.178196340, -5.356439521, -3.886556422, -0.178124624
12, 1763489345.623955, 0.001158635, -3.120160898, 2.980487744, 1.548402548, -0.002285719, -1.564361095, 0.032290359, 0.178192998, -5.356445421, -3.886556477, -0.178117719
13, 1763489345.659243, 0.001151323, -3.120153586, 2.980487744, 1.548414707, -0.002282699, -1.564367135, 0.032318334, 0.178185436, -5.356446100, -3.886555107, -0.178110261
14, 1763489345.681576, 0.001156171, -3.120151122, 2.980490446, 1.548411687, -0.002270540, -1.564358075, 0.032303075, 0.178168283, -5.356445586, -3.886555125, -0.178113425
15, 1763489345.709012, 0.001146396, -3.120155970, 2.980485042, 1.548393448, -0.002276659, -1.564352036, 0.032300532, 0.178162332, -5.356443760, -3.886557032, -0.178104888
16, 1763489345.734526, 0.001151323, -3.120151122, 2.980490367, 1.548387369, -0.002276659, -1.564361095, 0.032303075, 0.178171638, -5.356433697, -3.886555925, -0.178106586
17, 1763489345.767612, 0.001146317, -3.120165745, 2.980490446, 1.548387369, -0.002285798, -1.564361095, 0.032305618, 0.178168884, -5.356432460, -3.886556322, -0.178101152
18, 1763489345.795702, 0.001153708, -3.120163361, 2.980487744, 1.548399568, -0.002282778, -1.564370314, 0.032303075, 0.178167989, -5.356434778, -3.886558196, -0.178108114
19, 1763489345.825144, 0.001153708, -3.120160977, 2.980487744, 1.548399528, -0.002285798, -1.564349016, 0.032297989, 0.178164714, -5.356446589, -3.886553685, -0.178110658
20, 1763489345.853207, 0.001148860, -3.120170673, 2.980485042, 1.548405608, -0.002273639, -1.564361095, 0.032318334, 0.178154270, -5.356439155, -3.886556857, -0.178114648
21, 1763489345.87621, 0.001148860, -3.120165825, 2.980487744, 1.548396468, -0.002297958, -1.564352036, 0.032308161, 0.178161196, -5.356436312, -3.886554923, -0.178096116
22, 1763489345.904225, 0.001156171, -3.120160898, 2.980479717, 1.548414747, -0.002282778, -1.564361254, 0.032297989, 0.178154181, -5.356438537, -3.886558478, -0.178080406
23, 1763489345.932727, 0.001163562, -3.120160977, 2.980482419, 1.548405647, -0.002282699, -1.564370314, 0.032287816, 0.178154529, -5.356433736, -3.886555931, -0.178061570
24, 1763489345.965722, 0.001158794, -3.120160977, 2.980487744, 1.548405608, -0.002276659, -1.564358075, 0.032300532, 0.178124605, -5.356441417, -3.886557951, -0.178059055
25, 1763489345.9905941, 0.001151323, -3.120148659, 2.980487665, 1.548411687, -0.002279679, -1.564358075, 0.032310704, 0.178124809, -5.356433880, -3.886561155, -0.178043119
26, 1763489346.014485, 0.001143932, -3.120158513, 2.980487744, 1.548411727, -0.002285798, -1.564358075, 0.032303075, 0.178134846, -5.356433483, -3.886557044, -0.178032227
27, 1763489346.0430999, 0.001153787, -3.120160898, 2.980485042, 1.548399528, -0.002288858, -1.564367294, 0.032303075, 0.178136244, -5.356437698, -3.886559701, -0.178042105
28, 1763489346.069792, 0.001156171, -3.120168209, 2.980487744, 1.548399568, -0.002276738, -1.564370314, 0.032303075, 0.178159212, -5.356436918, -3.886557721, -0.178071335
29, 1763489346.098881, 0.001141548, -3.120163361, 2.980485042, 1.548405608, -0.002285798, -1.564355214, 0.032300532, 0.178153568, -5.356439695, -3.886557937, -0.178062363
30, 1763489346.124238, 0.001148860, -3.120158513, 2.980485042, 1.548405608, -0.002276659, -1.564349016, 0.032300532, 0.178165674, -5.356439154, -3.886556636, -0.178068391
31, 1763489346.156103, 0.001151244, -3.120158513, 2.980485042, 1.548405647, -0.002282778, -1.564376513, 0.032300532, 0.178176560, -5.356444122, -3.886553349, -0.178071157
32, 1763489346.180351, 0.001148780, -3.120156050, 2.980485042, 1.548414747, -0.002291918, -1.564364274, 0.032308161, 0.178169041, -5.356443311, -3.886557721, -0.178064309
