# Arm joint positions collected at 50.0 Hz
# Timestamp: 20251029_213553
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage

0, 0.000674, -3.118858, 3.138610, 1.569041, -0.001866, -1.569767, 0.006033
1, 0.000674, -3.118858, 3.138594, 1.569032, -0.001848, -1.569767, 0.006056
2, 0.000689, -3.118850, 3.138602, 1.569041, -0.001866, -1.569767, 0.006041
3, 0.000682, -3.118843, 3.138602, 1.569041, -0.001838, -1.569794, 0.006048
4, 0.000689, -3.118865, 3.138602, 1.569032, -0.001866, -1.569767, 0.006033
5, 0.000674, -3.118850, 3.138602, 1.569032, -0.001838, -1.569748, 0.006041
6, 0.000682, -3.118850, 3.138610, 1.569050, -0.001848, -1.569767, 0.006041
7, 0.000682, -3.118850, 3.138602, 1.569050, -0.001866, -1.569748, 0.006041
8, 0.000667, -3.118843, 3.138610, 1.569032, -0.001866, -1.569767, 0.006064
9, 0.000682, -3.118843, 3.138586, 1.569032, -0.001838, -1.569767, 0.006064
10, 0.000660, -3.118829, 3.138602, 1.569041, -0.001866, -1.569757, 0.006048
11, 0.000674, -3.118850, 3.138610, 1.569032, -0.001848, -1.569776, 0.006033
12, 0.000682, -3.118843, 3.138610, 1.569050, -0.001857, -1.569757, 0.006018
13, 0.000689, -3.118865, 3.138602, 1.569023, -0.001848, -1.569739, 0.006033
14, 0.000689, -3.118821, 3.138602, 1.569060, -0.001848, -1.569757, 0.006041
15, 0.000682, -3.118836, 3.138602, 1.569032, -0.001838, -1.569767, 0.006041
16, 0.000660, -3.118850, 3.138602, 1.569050, -0.001829, -1.569767, 0.006048
17, 0.000674, -3.118843, 3.138594, 1.569032, -0.001848, -1.569767, 0.006048
18, 0.000667, -3.118858, 3.138602, 1.569041, -0.001838, -1.569757, 0.006033
19, 0.000682, -3.118843, 3.138594, 1.569041, -0.001848, -1.569748, 0.006056
20, 0.000682, -3.118836, 3.138610, 1.569041, -0.001811, -1.569767, 0.006041
21, 0.000674, -3.118843, 3.138610, 1.569050, -0.001848, -1.569739, 0.006041
22, 0.000660, -3.118843, 3.138602, 1.569050, -0.001866, -1.569748, 0.006048
23, 0.000674, -3.118836, 3.138610, 1.569041, -0.001866, -1.569757, 0.006041
24, 0.000674, -3.118821, 3.138610, 1.569050, -0.001866, -1.569767, 0.006041
25, 0.000674, -3.118858, 3.138602, 1.569041, -0.001866, -1.569748, 0.006056
26, 0.000682, -3.118858, 3.138602, 1.569050, -0.001857, -1.569757, 0.006048
27, 0.000674, -3.118836, 3.138610, 1.569050, -0.001875, -1.569757, 0.006048
28, 0.000682, -3.118843, 3.138594, 1.569050, -0.001829, -1.569757, 0.006048
29, 0.000674, -3.118843, 3.138602, 1.569050, -0.001857, -1.569748, 0.006033
30, 0.000674, -3.118843, 3.138602, 1.569023, -0.001866, -1.569757, 0.006033
31, 0.000682, -3.118836, 3.138602, 1.569041, -0.001848, -1.569757, 0.006018
32, 0.000674, -3.118843, 3.138602, 1.569041, -0.001820, -1.569748, 0.006025
33, 0.000674, -3.118836, 3.138610, 1.569032, -0.001866, -1.569757, 0.006041
34, 0.000689, -3.118843, 3.138602, 1.569023, -0.001838, -1.569767, 0.006010
35, 0.000674, -3.118850, 3.138602, 1.569041, -0.001848, -1.569757, 0.006010
36, 0.000682, -3.118858, 3.138602, 1.569032, -0.001848, -1.569757, 0.006010
37, 0.000682, -3.118850, 3.138610, 1.569032, -0.001875, -1.569757, 0.006018
38, 0.000689, -3.118836, 3.138602, 1.569032, -0.001866, -1.569748, 0.006041
39, 0.000394, -3.114433, 3.136133, 1.568959, -0.001866, -1.569839, 0.005774
