# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_125923
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763488763.738718, 0.000706355, -3.118877570, 3.138836622, 1.562862714, -0.000307480, -1.567761103, 0.026130319, 0.182618985, -5.355471430, -4.006609833, -0.194707438
1, 1763488763.7673311, 0.000708739, -3.118877570, 3.138834000, 1.562865774, -0.000286182, -1.567770163, 0.026132882, 0.182616108, -5.355466481, -4.006611439, -0.194697081
2, 1763488763.789254, 0.000703971, -3.118875106, 3.138836622, 1.562859694, -0.000273943, -1.567764123, 0.026127756, 0.182629859, -5.355466695, -4.006609608, -0.194697073
3, 1763488763.814703, 0.000713666, -3.118879954, 3.138834000, 1.562865774, -0.000286142, -1.567773183, 0.026122709, 0.182633964, -5.355466703, -4.006607569, -0.194692687
4, 1763488763.85055, 0.000713666, -3.118882497, 3.138831298, 1.562865774, -0.000289202, -1.567766984, 0.026127795, 0.182622794, -5.355469538, -4.006607985, -0.194687143
5, 1763488763.8728588, 0.000708739, -3.118877570, 3.138839245, 1.562859694, -0.000283122, -1.567757924, 0.026122669, 0.182624516, -5.355474684, -4.006608069, -0.194688652
6, 1763488763.902924, 0.000713666, -3.118882497, 3.138834000, 1.562856634, -0.000280062, -1.567776203, 0.026125232, 0.182613141, -5.355465977, -4.006607997, -0.194678979
7, 1763488763.947711, 0.000703891, -3.118882497, 3.138839245, 1.562871814, -0.000277082, -1.567757924, 0.026135405, 0.182614700, -5.355459380, -4.006606143, -0.194667334
8, 1763488763.9796789, 0.000708818, -3.118875106, 3.138839245, 1.562865774, -0.000295281, -1.567773183, 0.026132842, 0.182604067, -5.355458489, -4.006608138, -0.194648659
9, 1763488764.0094411, 0.000708818, -3.118879954, 3.138836622, 1.562859654, -0.000273983, -1.567767143, 0.026125193, 0.182612844, -5.355459043, -4.006608721, -0.194648739
10, 1763488764.038869, 0.000706355, -3.118882418, 3.138831298, 1.562853614, -0.000286142, -1.567770163, 0.026130319, 0.182612227, -5.355464302, -4.006607489, -0.194642883
11, 1763488764.064639, 0.000706275, -3.118872643, 3.138834000, 1.562865774, -0.000295321, -1.567767143, 0.026125232, 0.182623705, -5.355474378, -4.006608884, -0.194625757
12, 1763488764.090966, 0.000708818, -3.118879954, 3.138836622, 1.562865774, -0.000298301, -1.567764123, 0.026127795, 0.182619424, -5.355475689, -4.006610194, -0.194614515
13, 1763488764.1194398, 0.000703891, -3.118877570, 3.138833920, 1.562856634, -0.000292261, -1.567770163, 0.026127795, 0.182619450, -5.355476879, -4.006605946, -0.194610505
14, 1763488764.147496, 0.000711203, -3.118875106, 3.138836622, 1.562865774, -0.000301361, -1.567770163, 0.026130319, 0.182620115, -5.355476971, -4.006610048, -0.194599904
15, 1763488764.1782331, 0.000701427, -3.118880033, 3.138836622, 1.562856634, -0.000280062, -1.567767143, 0.026127795, 0.182624818, -5.355473654, -4.006609618, -0.194592092
16, 1763488764.203564, 0.000713666, -3.118884961, 3.138836622, 1.562859694, -0.000280023, -1.567770163, 0.026127756, 0.182632700, -5.355479759, -4.006612134, -0.194591161
17, 1763488764.235513, 0.000703891, -3.118882497, 3.138836622, 1.562871854, -0.000292222, -1.567776203, 0.026140491, 0.182640774, -5.355475610, -4.006608969, -0.194592543
18, 1763488764.272754, 0.000711282, -3.118877570, 3.138836622, 1.562862714, -0.000295281, -1.567770163, 0.026125232, 0.182653158, -5.355481584, -4.006612261, -0.194592529
19, 1763488764.3003142, 0.000703891, -3.118882497, 3.138836622, 1.562853575, -0.000295281, -1.567785263, 0.026127756, 0.182665100, -5.355476888, -4.006608453, -0.194609129
20, 1763488764.335485, 0.000708739, -3.118882497, 3.138831298, 1.562850595, -0.000295281, -1.567782243, 0.026130319, 0.182681255, -5.355483398, -4.006611387, -0.194604343
21, 1763488764.3722749, 0.000696659, -3.118889888, 3.138839245, 1.562856634, -0.000307520, -1.567770163, 0.026132842, 0.182686113, -5.355489938, -4.006610872, -0.194622052
22, 1763488764.4043891, 0.000708818, -3.118877570, 3.138836622, 1.562874873, -0.000271002, -1.567773183, 0.026115060, 0.182691642, -5.355498019, -4.006614679, -0.194649673
23, 1763488764.440254, 0.000718594, -3.118880033, 3.138841947, 1.562850555, -0.000276963, -1.567766984, 0.026120146, 0.182704491, -5.355490509, -4.006611233, -0.194666205
24, 1763488764.4609861, 0.000708739, -3.118879954, 3.138839245, 1.562859694, -0.000289241, -1.567767143, 0.026143014, 0.182709378, -5.355485952, -4.006615131, -0.194660278
25, 1763488764.4952059, 0.000713666, -3.118877570, 3.138836543, 1.562865774, -0.000280062, -1.567764123, 0.026130319, 0.182713673, -5.355488010, -4.006615124, -0.194683938
26, 1763488764.5296, 0.000699043, -3.118882497, 3.138836622, 1.562868794, -0.000286102, -1.567773183, 0.026125232, 0.182715200, -5.355493573, -4.006616076, -0.194680082
27, 1763488764.558346, 0.000699043, -3.118877570, 3.138839324, 1.562856674, -0.000277042, -1.567782243, 0.026125232, 0.182723161, -5.355497890, -4.006616355, -0.194668376
28, 1763488764.588649, 0.000701507, -3.118875106, 3.138841867, 1.562859694, -0.000292222, -1.567764123, 0.026127756, 0.182733248, -5.355502519, -4.006610362, -0.194652884
29, 1763488764.626175, 0.000711203, -3.118875106, 3.138844570, 1.562877893, -0.000295242, -1.567767143, 0.026127795, 0.182736950, -5.355515571, -4.006613582, -0.194656268
30, 1763488764.654624, 0.000711282, -3.118889809, 3.138839245, 1.562862714, -0.000280102, -1.567763964, 0.026127795, 0.182751416, -5.355513696, -4.006613464, -0.194660731
31, 1763488764.678435, 0.000699043, -3.118882497, 3.138839245, 1.562871854, -0.000295242, -1.567767143, 0.026125193, 0.182749908, -5.355507222, -4.006614150, -0.194638983
32, 1763488764.7099679, 0.000706275, -3.118877570, 3.138836622, 1.562871854, -0.000295281, -1.567773183, 0.026135405, 0.182765639, -5.355514989, -4.006613248, -0.194630524
33, 1763488764.744918, 0.000701427, -3.118877570, 3.138839245, 1.562859694, -0.000295281, -1.567764123, 0.026125232, 0.182775937, -5.355520556, -4.006613101, -0.194609234
34, 1763488764.772723, 0.000726064, -3.118882418, 3.138839245, 1.562856674, -0.000289241, -1.567760944, 0.026125193, 0.182790271, -5.355528216, -4.006613312, -0.194594081
35, 1763488764.807952, 0.000706355, -3.118884881, 3.138841867, 1.562844475, -0.000277003, -1.567767143, 0.026135365, 0.182794453, -5.355540807, -4.006617622, -0.194582938
36, 1763488764.862001, 0.000703812, -3.118877570, 3.138841947, 1.562874873, -0.000267824, -1.567767143, 0.026125232, 0.182812678, -5.355532683, -4.006616649, -0.194580891
37, 1763488764.8896132, 0.000706275, -3.118884881, 3.138841867, 1.562865774, -0.000301401, -1.567760944, 0.026117623, 0.182818009, -5.355539900, -4.006613332, -0.194601670
38, 1763488764.9173272, 0.000708818, -3.118884961, 3.138844570, 1.562865774, -0.000289241, -1.567773183, 0.026127795, 0.182814707, -5.355541944, -4.006618994, -0.194593563
39, 1763488764.943912, 0.000706275, -3.118879954, 3.138841867, 1.562862754, -0.000289241, -1.567773183, 0.026120146, 0.182826172, -5.355545906, -4.006616014, -0.194596773
40, 1763488764.9784908, 0.000711282, -3.118875106, 3.138841867, 1.562862714, -0.000286182, -1.567770163, 0.026143014, 0.182838035, -5.355545201, -4.006617579, -0.194573775
41, 1763488765.0066319, 0.000698964, -3.118879954, 3.138841867, 1.562859694, -0.000280062, -1.567770163, 0.026115020, 0.182843975, -5.355561622, -4.006619901, -0.194592205
42, 1763488765.03839, 0.000711203, -3.118879954, 3.138844570, 1.562865774, -0.000277042, -1.567779223, 0.026125232, 0.182856526, -5.355560958, -4.006616376, -0.194596175
43, 1763488765.064152, 0.000706355, -3.118875027, 3.138839245, 1.562871854, -0.000277042, -1.567782243, 0.026132842, 0.182856203, -5.355565215, -4.006619830, -0.194618771
44, 1763488765.091302, 0.000703891, -3.118877570, 3.138849974, 1.562862714, -0.000280023, -1.567776203, 0.026109974, 0.182865682, -5.355572908, -4.006619125, -0.194629438
45, 1763488765.116181, 0.000708739, -3.118884881, 3.138844570, 1.562853614, -0.000295321, -1.567776203, 0.026117583, 0.182876860, -5.355582542, -4.006620609, -0.194655502
46, 1763488765.1460228, 0.000716130, -3.118877490, 3.138839245, 1.562865774, -0.000280102, -1.567779223, 0.026120146, 0.182883309, -5.355588995, -4.006620225, -0.194667906
47, 1763488765.179821, 0.000703891, -3.118887424, 3.138841947, 1.562868794, -0.000277003, -1.567773183, 0.026135405, 0.182901572, -5.355582215, -4.006620618, -0.194635352
48, 1763488765.206576, 0.000706275, -3.118867715, 3.138839245, 1.562862714, -0.000277042, -1.567767143, 0.026132842, 0.182913981, -5.355591536, -4.006620165, -0.194628421
49, 1763488765.2403562, 0.000703891, -3.118880033, 3.138836622, 1.562868794, -0.000280062, -1.567779223, 0.026135405, 0.182923564, -5.355595770, -4.006616738, -0.194637672
50, 1763488765.2702131, 0.000585953, -3.118076086, 3.138538281, 1.562859694, -0.000283122, -1.567757924, 0.026232084, 0.182928413, -5.355592274, -4.006621377, -0.194642791
51, 1763488765.2958238, 0.000790040, -3.112218062, 3.133624792, 1.562774499, -0.000191847, -1.567839940, 0.025542577, 0.182799396, -5.355558521, -4.006807295, -0.194628775
52, 1763488765.323692, 0.000239372, -3.096145630, 3.121187925, 1.562814077, -0.000292222, -1.567815781, 0.025875886, 0.182723235, -5.355580135, -4.007157869, -0.194577154
53, 1763488765.361077, 0.000379403, -3.063302755, 3.094260613, 1.562798818, -0.000182668, -1.567849159, 0.025713046, 0.182444101, -5.355498518, -4.007559181, -0.194556588
54, 1763488765.3989341, 0.000298262, -3.005274455, 3.046893756, 1.562856674, -0.000261784, -1.567821662, 0.025952180, 0.181907011, -5.355416331, -4.008155438, -0.194496021
55, 1763488765.422772, 0.000406424, -2.939559221, 2.998296340, 1.562932769, -0.000240564, -1.567785263, 0.026079416, 0.181258705, -5.355272243, -4.008629710, -0.194536676
56, 1763488765.456186, 0.000649850, -2.861980041, 2.945254167, 1.562966267, -0.000319640, -1.567748706, 0.025962432, 0.180391430, -5.355119376, -4.009030785, -0.194541532
57, 1763488765.480978, 0.000863791, -2.789297899, 2.894446294, 1.560829639, -0.006826878, -1.561363061, 0.026262641, 0.179521939, -5.354945217, -4.009224580, -0.194490838
58, 1763488765.51333, 0.000706355, -2.738551140, 2.859590848, 1.541788777, -0.022528847, -1.540048917, 0.026346584, 0.178971214, -5.354710560, -4.009247692, -0.194166728
59, 1763488765.539165, 0.000475327, -2.701329788, 2.838772933, 1.507088582, -0.037424326, -1.505616506, 0.026504338, 0.178648266, -5.354736948, -4.009178238, -0.194009453
60, 1763488765.5735612, 0.000674486, -2.679573933, 2.834882100, 1.453870972, -0.052219391, -1.452508450, 0.026313543, 0.178648755, -5.354609861, -4.008974128, -0.194389240
61, 1763488765.596672, 0.000521978, -2.676348766, 2.844264428, 1.392685175, -0.064387639, -1.393422763, 0.026214302, 0.178952341, -5.354601798, -4.008857250, -0.194479461
62, 1763488765.63008, 0.000428597, -2.680264791, 2.858754635, 1.324891806, -0.077262243, -1.326499939, 0.026188831, 0.179235102, -5.354722639, -4.008862652, -0.194502669
63, 1763488765.667695, 0.000374556, -2.684475899, 2.881215731, 1.202459455, -0.094613791, -1.204685211, 0.026020904, 0.179529405, -5.354635965, -4.008804064, -0.194465711
64, 1763488765.693046, 0.000435988, -2.685471455, 2.895234664, 1.099524538, -0.107856592, -1.102127632, 0.025903881, 0.179498109, -5.354709538, -4.008812954, -0.194496862
65, 1763488765.7201972, 0.000263850, -2.685518026, 2.904406548, 0.995925903, -0.119544029, -0.998583953, 0.025868237, 0.179554735, -5.354562728, -4.008787488, -0.194488146
66, 1763488765.751808, 0.000345071, -2.684593678, 2.911136309, 0.867975473, -0.132783731, -0.871245384, 0.025942008, 0.179476847, -5.354622312, -4.008811653, -0.194538751
