# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130945
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763489385.693841, 0.000713666, -3.118742466, 3.138746023, 1.562165697, -0.001963218, -1.568052928, 0.022837818, 0.167356955, -5.363450218, -4.068390198, -0.176194845
1, 1763489385.722993, 0.000708818, -3.118727605, 3.138751427, 1.562174837, -0.001951059, -1.568061988, 0.022847990, 0.167362575, -5.363448237, -4.068389193, -0.176202470
2, 1763489385.749592, 0.000701427, -3.118740002, 3.138751427, 1.562171817, -0.001969258, -1.568061988, 0.022850553, 0.167365239, -5.363448509, -4.068391464, -0.176201090
3, 1763489385.7780879, 0.000711282, -3.118732532, 3.138748725, 1.562174837, -0.001969258, -1.568058968, 0.022842904, 0.167367210, -5.363438008, -4.068392130, -0.176207982
4, 1763489385.806918, 0.000703891, -3.118732532, 3.138754129, 1.562168757, -0.001960198, -1.568061988, 0.022835294, 0.167361432, -5.363441306, -4.068392739, -0.176208011
5, 1763489385.8319738, 0.000708818, -3.118737539, 3.138754129, 1.562171777, -0.001950979, -1.568058968, 0.022842904, 0.167362570, -5.363433940, -4.068392835, -0.176204151
6, 1763489385.861716, 0.000696659, -3.118744771, 3.138748805, 1.562171777, -0.001978397, -1.568061988, 0.022858183, 0.167353654, -5.363431653, -4.068396073, -0.176210435
7, 1763489385.9029949, 0.000721137, -3.118737380, 3.138756752, 1.562171777, -0.001981497, -1.568052928, 0.022842904, 0.167348045, -5.363425215, -4.068394900, -0.176205615
8, 1763489385.9279518, 0.000713666, -3.118737459, 3.138746103, 1.562171817, -0.001972278, -1.568074226, 0.022845467, 0.167348623, -5.363413435, -4.068393993, -0.176195051
9, 1763489385.951838, 0.000708818, -3.118739923, 3.138751427, 1.562177857, -0.001972357, -1.568058968, 0.022835294, 0.167354284, -5.363412944, -4.068393409, -0.176182790
10, 1763489385.979209, 0.000718673, -3.118737539, 3.138748725, 1.562174797, -0.001972357, -1.568055948, 0.022847990, 0.167353071, -5.363405786, -4.068395522, -0.176183797
11, 1763489386.0073018, 0.000713666, -3.118747234, 3.138754129, 1.562174837, -0.001975377, -1.568061988, 0.022837818, 0.167359246, -5.363400979, -4.068392173, -0.176181269
12, 1763489386.035684, 0.000716130, -3.118737459, 3.138756752, 1.562168757, -0.001966159, -1.568065008, 0.022847990, 0.167358243, -5.363403565, -4.068394572, -0.176175442
13, 1763489386.06406, 0.000703891, -3.118744771, 3.138754129, 1.562171777, -0.001966238, -1.568052928, 0.022840381, 0.167353168, -5.363406327, -4.068396322, -0.176171902
14, 1763489386.0964968, 0.000706355, -3.118734996, 3.138754050, 1.562174837, -0.001957178, -1.568058968, 0.022840381, 0.167352465, -5.363397113, -4.068393912, -0.176168052
15, 1763489386.123792, 0.000708818, -3.118744771, 3.138756752, 1.562174837, -0.001969258, -1.568068027, 0.022842904, 0.167353870, -5.363396746, -4.068397615, -0.176156439
16, 1763489386.145857, 0.000706355, -3.118744771, 3.138754129, 1.562174837, -0.001966238, -1.568071047, 0.022847990, 0.167352084, -5.363395410, -4.068395398, -0.176137582
