# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_214531
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, -0.020262718200683594, -1.6218253374099731, 2.429232120513916, 0.023637771606445312, -0.6992975473403931, -0.024381399154663086, 0.0, -2.0388537535139357, -5.559612111400441, -3.620393827671493, -0.12037591399726733
1, -0.020262718200683594, -1.621840000152588, 2.4292240142822266, 0.023637771606445312, -0.699306845664978, -0.024344921112060547, 0.0, -2.0388630579646416, -5.559609459408606, -3.62039610888324, -0.12038074745937966
2, -0.020255565643310547, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992884874343872, -0.024372339248657227, 0.0, -2.0388704451674506, -5.55960352294958, -3.6204000446087856, -0.12037647923396921
3, -0.020270109176635742, -1.6218328475952148, 2.4292240142822266, 0.023665189743041992, -0.6992794275283813, -0.024344921112060547, 0.0, -2.0388638007906454, -5.559608108727575, -3.6203958673501004, -0.12037791437126533
4, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992975473403931, -0.024344921112060547, 0.0, -2.0388729410202173, -5.559598994815807, -3.6203974107324624, -0.12038474077017902
5, -0.020262718200683594, -1.621840000152588, 2.4292240142822266, 0.023665189743041992, -0.6992884874343872, -0.024363040924072266, 0.0, -2.0388827841456116, -5.559603239782142, -3.6203985379188266, -0.1203867036918016
6, -0.020262718200683594, -1.6218253374099731, 2.4292399883270264, 0.023647069931030273, -0.6992884874343872, -0.024353981018066406, 0.0, -2.038875824560993, -5.559610652587114, -3.620395179957813, -0.12038741714327816
7, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023647069931030273, -0.6992884874343872, -0.024344921112060547, 0.0, -2.038880615396773, -5.559608772524225, -3.620397939062398, -0.12040922045364866
8, -0.020255565643310547, -1.621840000152588, 2.429232120513916, 0.023683547973632812, -0.6993340253829956, -0.024353981018066406, 0.0, -2.038879080203957, -5.5596133200699605, -3.62040022118965, -0.1204091609550959
9, -0.020262718200683594, -1.621840000152588, 2.429232120513916, 0.023647069931030273, -0.6992975473403931, -0.024353981018066406, 0.0, -2.0388798681271876, -5.55960150663304, -3.620398009549581, -0.12041366000413589
10, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023647069931030273, -0.6992884874343872, -0.024390459060668945, 0.0, -2.0388814534885378, -5.559594370577011, -3.6203968588391002, -0.12042641341890459
11, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992701292037964, -0.024363040924072266, 0.0, -2.03887654699875, -5.559598062143646, -3.6203990929273604, -0.12041911873076394
12, -0.020262718200683594, -1.621840000152588, 2.429232120513916, 0.023665189743041992, -0.6992701292037964, -0.024372339248657227, 0.0, -2.038869376034184, -5.559602096721781, -3.6203986222470297, -0.12042654011669995
13, -0.020255565643310547, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.699306845664978, -0.024353981018066406, 0.0, -2.0388650206087253, -5.559595577696249, -3.620396477994508, -0.12040972672023198
14, -0.020262718200683594, -1.6218253374099731, 2.429232120513916, 0.023647069931030273, -0.699306845664978, -0.024344921112060547, 0.0, -2.0388722003916464, -5.559590319059983, -3.620399005223067, -0.12039071958038239
15, -0.020270109176635742, -1.6218476295471191, 2.4292399883270264, 0.023656129837036133, -0.6992701292037964, -0.024381399154663086, 0.0, -2.0388744400509085, -5.559591847684714, -3.6203940135460413, -0.1203796315944512
16, -0.020255565643310547, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992610692977905, -0.024372339248657227, 0.0, -2.0388918353196193, -5.559593214116179, -3.620399839177228, -0.12037969826413875
17, -0.020255565643310547, -1.6218253374099731, 2.4292080402374268, 0.023665189743041992, -0.6992794275283813, -0.024353981018066406, 0.0, -2.03889790889066, -5.5595933681658725, -3.62039949879362, -0.12040898963226443
18, -0.020255565643310547, -1.6218328475952148, 2.429232120513916, 0.023647069931030273, -0.699306845664978, -0.024353981018066406, 0.0, -2.0388928156537496, -5.559596618796746, -3.6203986442761424, -0.12041005290451334
19, -0.020262718200683594, -1.621840000152588, 2.429232120513916, 0.023665189743041992, -0.6992884874343872, -0.024381399154663086, 0.0, -2.0388950977990365, -5.559598734586849, -3.6204037747658377, -0.1203970620236765
20, -0.020255565643310547, -1.6218328475952148, 2.429232120513916, 0.023665189743041992, -0.6992794275283813, -0.024363040924072266, 0.0, -2.0388932162474935, -5.5596066968108655, -3.6203983404046642, -0.12038190661750114
21, -0.020262718200683594, -1.621840000152588, 2.429232120513916, 0.023665189743041992, -0.699306845664978, -0.024353981018066406, 0.0, -2.038893899971911, -5.559603330487367, -3.6203997934080365, -0.1203829775923495
22, -0.020262718200683594, -1.6218253374099731, 2.4292240142822266, 0.023656129837036133, -0.6992884874343872, -0.024381399154663086, 0.0, -2.038894436079879, -5.559609031152561, -3.6204001009773554, -0.12036617136550998
23, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023637771606445312, -0.699306845664978, -0.024344921112060547, 0.0, -2.038900147771881, -5.559612256638902, -3.6204003840049044, -0.12038472456583538
24, -0.020270109176635742, -1.6218328475952148, 2.429232120513916, 0.023647069931030273, -0.6992884874343872, -0.024399518966674805, 0.0, -2.0389143029556025, -5.559614066869641, -3.620402994135616, -0.12037626965664927
25, -0.020262718200683594, -1.6218328475952148, 2.4292399883270264, 0.023647069931030273, -0.6992884874343872, -0.024353981018066406, 0.0, -2.0389142460143397, -5.559614015815451, -3.620402056077074, -0.12036166407616378
26, -0.020255565643310547, -1.6218253374099731, 2.4292240142822266, 0.023665189743041992, -0.6992975473403931, -0.024372339248657227, 0.0, -2.0389174131787566, -5.559628068955991, -3.6204006292636177, -0.1203646459115646
27, -0.020270109176635742, -1.6218328475952148, 2.429232120513916, 0.023656129837036133, -0.6992975473403931, -0.024353981018066406, 0.0, -2.0389157785105216, -5.559623433265065, -3.6204012085184507, -0.12035696448476063
28, -0.020270109176635742, -1.621840000152588, 2.4292240142822266, 0.023647069931030273, -0.699306845664978, -0.024353981018066406, 0.0, -2.038913647565525, -5.559625609695639, -3.6204054100966965, -0.12036187232144613
29, -0.020270109176635742, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992701292037964, -0.024344921112060547, 0.0, -2.038904457371278, -5.5596339603819915, -3.6204020101895726, -0.12036425970466702
30, -0.020255565643310547, -1.6218328475952148, 2.429232120513916, 0.023665189743041992, -0.6992975473403931, -0.024363040924072266, 0.0, -2.0389149601036745, -5.559630383424336, -3.620403540598428, -0.12035823600101558
31, -0.020262718200683594, -1.6218253374099731, 2.429232120513916, 0.023647069931030273, -0.6992975473403931, -0.024353981018066406, 0.0, -2.038913910918624, -5.559620452431215, -3.620409184540756, -0.12035270396420827
32, -0.020270109176635742, -1.6218253374099731, 2.4292399883270264, 0.023647069931030273, -0.6992701292037964, -0.024381399154663086, 0.0, -2.0389020478970536, -5.559623820561926, -3.620404008014238, -0.12034641278445246
33, -0.020262718200683594, -1.6218328475952148, 2.4292240142822266, 0.023647069931030273, -0.6992884874343872, -0.024353981018066406, 0.0, -2.0388961543828987, -5.559621103044535, -3.620404411358334, -0.12034447217687116
34, -0.020262718200683594, -1.621840000152588, 2.429232120513916, 0.023656129837036133, -0.6992975473403931, -0.024363040924072266, 0.0, -2.0388943498584804, -5.559612776071276, -3.6204063993491795, -0.12035544833965162
35, -0.020255565643310547, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.6992975473403931, -0.024363040924072266, 0.0, -2.038893883600984, -5.55961846642126, -3.620402808194502, -0.12037272231784701
36, -0.020262718200683594, -1.6218328475952148, 2.429232120513916, 0.023656129837036133, -0.6992884874343872, -0.024372339248657227, 0.0, -2.038899602750186, -5.559609461980784, -3.620405504208805, -0.12038451685261986
37, -0.020255565643310547, -1.6218253374099731, 2.429232120513916, 0.023647069931030273, -0.6992975473403931, -0.024381399154663086, 0.0, -2.038880045030171, -5.559603729917495, -3.620407176790832, -0.12039659373762213
38, -0.020270109176635742, -1.6218328475952148, 2.429232120513916, 0.02367424964904785, -0.699306845664978, -0.024363040924072266, 0.0, -2.038879547021197, -5.559619691505748, -3.6204035434734494, -0.12040591137566636
39, -0.020262718200683594, -1.6218253374099731, 2.4292240142822266, 0.023637771606445312, -0.6992884874343872, -0.024344921112060547, 0.0, -2.038868038387243, -5.559609220829717, -3.6204059757403506, -0.12039957610333651
40, -0.020270109176635742, -1.621840000152588, 2.429232120513916, 0.023665189743041992, -0.699306845664978, -0.024381399154663086, 0.0, -2.038848884263774, -5.559607347115251, -3.6204010373690796, -0.12040189601728546
41, -0.020262718200683594, -1.6218328475952148, 2.429232120513916, 0.023647069931030273, -0.6993159055709839, -0.024363040924072266, 0.0, -2.0388606395788735, -5.559612627962875, -3.620404470255064, -0.12040993496513419
42, -0.020270109176635742, -1.6218328475952148, 2.4292240142822266, 0.023656129837036133, -0.699306845664978, -0.024363040924072266, 0.0, -2.0388588355597754, -5.55960331781715, -3.6204080164590655, -0.1204115488630384
