# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130129
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

29, 1763488890.024251, -0.017386913, -0.768202066, 2.154361725, 0.029298862, -1.420989831, -0.019453764, 0.960121257, 0.166968275, -5.361830682, -4.083739716, -0.194854387
30, 1763488890.046197, -0.017384370, -0.768211822, 2.154361725, 0.029295762, -1.420965513, -0.019453764, 0.960116145, 0.166966878, -5.361826724, -4.083738550, -0.194851242
31, 1763488890.077319, -0.017389218, -0.768197139, 2.154367129, 0.029301882, -1.420965513, -0.019472043, 0.960121231, 0.166967248, -5.361824779, -4.083740744, -0.194869491
32, 1763488890.107981, -0.017386754, -0.768202066, 2.154369831, 0.029314121, -1.420968533, -0.019459883, 0.960131454, 0.166969658, -5.361819221, -4.083736728, -0.194871256
33, 1763488890.135027, -0.017381827, -0.768209219, 2.154367129, 0.029298862, -1.420962493, -0.019472043, 0.960123749, 0.166964242, -5.361827978, -4.083738285, -0.194862796
34, 1763488890.1690938, -0.017384370, -0.768199523, 2.154364427, 0.029298862, -1.420968533, -0.019447724, 0.960118713, 0.166961988, -5.361824078, -4.083738153, -0.194859433
35, 1763488890.196573, -0.017384370, -0.768199523, 2.154367129, 0.029304981, -1.420962413, -0.019459804, 0.960113576, 0.166957418, -5.361820722, -4.083739375, -0.194860468
36, 1763488890.220674, -0.017386913, -0.768201987, 2.154369831, 0.029289643, -1.420968533, -0.019466003, 0.960126343, 0.166946053, -5.361817812, -4.083742319, -0.194871307
37, 1763488890.244001, -0.017386913, -0.768204451, 2.154369831, 0.029304981, -1.420971632, -0.019456784, 0.960128911, 0.166954473, -5.361819442, -4.083738000, -0.194874350
38, 1763488890.281111, -0.017381827, -0.768202066, 2.154369831, 0.029298782, -1.420965433, -0.019450744, 0.960121231, 0.166951238, -5.361831354, -4.083740245, -0.194883303
39, 1763488890.304018, -0.017384370, -0.768204451, 2.154369831, 0.029308001, -1.420977672, -0.019466003, 0.960121257, 0.166947014, -5.361833365, -4.083739121, -0.194867289
40, 1763488890.3296452, -0.017376900, -0.768204371, 2.154364427, 0.029314041, -1.420971553, -0.019469023, 0.960131429, 0.166954701, -5.361838804, -4.083737409, -0.194848938
41, 1763488890.355071, -0.017381827, -0.768194596, 2.154364427, 0.029295842, -1.420974652, -0.019456863, 0.960128886, 0.166945380, -5.361831456, -4.083740394, -0.194848354
42, 1763488890.391996, -0.017384370, -0.768201987, 2.154367129, 0.029304981, -1.420965513, -0.019447724, 0.960116145, 0.166940332, -5.361828379, -4.083741277, -0.194856611
43, 1763488890.416265, -0.017384211, -0.768202066, 2.154361725, 0.029301882, -1.420962572, -0.019453764, 0.960121231, 0.166931774, -5.361828105, -4.083742455, -0.194858767
44, 1763488890.438387, -0.017386754, -0.768197060, 2.154369831, 0.029304981, -1.420986811, -0.019447724, 0.960139084, 0.166924402, -5.361825891, -4.083745237, -0.194852302
45, 1763488890.467264, -0.017391682, -0.768199603, 2.154364427, 0.029308081, -1.420974652, -0.019456784, 0.960126368, 0.166927448, -5.361831026, -4.083747401, -0.194860528
46, 1763488890.492469, -0.017386913, -0.768201987, 2.154367129, 0.029308081, -1.420983712, -0.019447724, 0.960133998, 0.166936741, -5.361825258, -4.083742174, -0.194858196
47, 1763488890.517704, -0.017381827, -0.768187284, 2.154369831, 0.029301882, -1.420968612, -0.019441605, 0.960123800, 0.166929035, -5.361820601, -4.083746166, -0.194860794
48, 1763488890.5460858, -0.017379443, -0.768199603, 2.154367129, 0.029304981, -1.420974652, -0.019435565, 0.960133998, 0.166923515, -5.361814035, -4.083748566, -0.194856369
49, 1763488890.5791008, -0.017384370, -0.768184781, 2.154369831, 0.029295762, -1.420974652, -0.019441605, 0.960126292, 0.166915411, -5.361811833, -4.083746754, -0.194859559
50, 1763488890.6073868, -0.017379363, -0.768202066, 2.154361725, 0.029301882, -1.420980692, -0.019450823, 0.960128911, 0.166915027, -5.361808233, -4.083747746, -0.194856125
51, 1763488890.6280801, -0.017381827, -0.768204451, 2.154367129, 0.029304981, -1.420968612, -0.019450744, 0.960118688, 0.166913826, -5.361811715, -4.083746478, -0.194855451
52, 1763488890.651309, -0.017379363, -0.768204431, 2.154364427, 0.029298782, -1.420983791, -0.019432545, 0.960121257, 0.166908337, -5.361814725, -4.083747660, -0.194862837
53, 1763488890.681259, -0.017384211, -0.768211663, 2.154364427, 0.029307922, -1.420971473, -0.019459804, 0.960121231, 0.166903298, -5.361809691, -4.083748929, -0.194859010
54, 1763488890.70311, -0.017389297, -0.768201967, 2.154369831, 0.029295762, -1.420980692, -0.019444625, 0.960133998, 0.166900534, -5.361812120, -4.083752115, -0.194854710
55, 1763488890.729985, -0.017381748, -0.768201987, 2.154367129, 0.029304902, -1.420992851, -0.019450744, 0.960136541, 0.166897197, -5.361816016, -4.083750114, -0.194859004
56, 1763488890.759582, -0.017386754, -0.768197139, 2.154372533, 0.029298862, -1.420980692, -0.019438585, 0.960133998, 0.166894386, -5.361812481, -4.083749356, -0.194870316
57, 1763488890.786602, -0.017384370, -0.768199603, 2.154367129, 0.029308081, -1.420977672, -0.019438664, 0.960116119, 0.166886565, -5.361817949, -4.083752093, -0.194881941
58, 1763488890.81099, -0.017384370, -0.768209279, 2.154369831, 0.029298862, -1.420968533, -0.019441605, 0.960123774, 0.166880136, -5.361810506, -4.083751694, -0.194885024
59, 1763488890.83565, -0.017386754, -0.768209279, 2.154367129, 0.029308001, -1.420974652, -0.019453764, 0.960123800, 0.166873542, -5.361813971, -4.083755012, -0.194875246
60, 1763488890.8686469, -0.017389297, -0.768197139, 2.154367129, 0.029295762, -1.420974652, -0.019435565, 0.960123800, 0.166867242, -5.361807681, -4.083754130, -0.194860554
61, 1763488890.8929431, -0.017386913, -0.768209279, 2.154367129, 0.029304981, -1.420971553, -0.019447724, 0.960131429, 0.166868782, -5.361800840, -4.083752366, -0.194863793
62, 1763488890.925291, -0.017386754, -0.768202066, 2.154375235, 0.029295842, -1.420974652, -0.019426425, 0.960123774, 0.166866216, -5.361799962, -4.083754503, -0.194862788
63, 1763488890.9552839, -0.017384291, -0.768209219, 2.154359102, 0.029295762, -1.420980692, -0.019432545, 0.960136515, 0.166869283, -5.361797995, -4.083750292, -0.194859169
64, 1763488890.978892, -0.017386754, -0.768197139, 2.154369831, 0.029301882, -1.420974731, -0.019423405, 0.960131454, 0.166866106, -5.361804343, -4.083751882, -0.194861225
