# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_212754
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.0006818771362304688, -3.1189022064208984, 3.139009714126587, 1.5671968460083008, -0.001902461051940918, -1.5697665214538574, 0.0, -2.072772205223661, -5.559420428280305, -3.668720101677441, -0.1206142151587235
1, 0.0006818771362304688, -3.118880033493042, 3.139009714126587, 1.5671968460083008, -0.0018842220306396484, -1.5697484016418457, 0.0, -2.0727580643813726, -5.559427270495619, -3.6687177632131163, -0.12062202344670325
2, 0.0006892681121826172, -3.118887424468994, 3.139009714126587, 1.567187786102295, -0.0018934011459350586, -1.5697574615478516, 0.0, -2.0727505354308198, -5.5594354488873226, -3.6687212225705927, -0.12064249499413027
3, 0.0006966590881347656, -3.1188578605651855, 3.1390178203582764, 1.5671968460083008, -0.0018934011459350586, -1.5697665214538574, 0.0, -2.0727390763202354, -5.559434465397482, -3.668717377400969, -0.1206480644400143
4, 0.0006668567657470703, -3.118894577026367, 3.139009714126587, 1.5671786069869995, -0.0019115209579467773, -1.5697665214538574, 0.0, -2.072728157339976, -5.559432513232998, -3.6687169378690596, -0.12062821736255191
5, 0.0006818771362304688, -3.11887264251709, 3.139009714126587, 1.567187786102295, -0.001902461051940918, -1.5697574615478516, 0.0, -2.072715314570284, -5.55943911455978, -3.6687153909523627, -0.12059779536355641
6, 0.0006742477416992188, -3.118894577026367, 3.1390178203582764, 1.5671786069869995, -0.0018934011459350586, -1.5697665214538574, 0.0, -2.0727117049369443, -5.559442834067373, -3.668715897411219, -0.12060292626551306
7, 0.0006742477416992188, -3.118880033493042, 3.139009714126587, 1.567187786102295, -0.001902461051940918, -1.5697755813598633, 0.0, -2.072688432493414, -5.559450290013904, -3.6687115965569252, -0.12061307626005924
8, 0.0006892681121826172, -3.118894577026367, 3.1390178203582764, 1.5672060251235962, -0.0019115209579467773, -1.5697665214538574, 0.0, -2.0726806407083047, -5.559459020326872, -3.668712847262195, -0.12060086565782058
9, 0.0006742477416992188, -3.11887264251709, 3.139009714126587, 1.5671968460083008, -0.0018750429153442383, -1.5697388648986816, 0.0, -2.0726685027856324, -5.559461947121479, -3.6687093337994265, -0.1205966569668071
