# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_225501
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.0006966590881347656, -3.1181352138519287, 3.1389060020446777, 1.5657541751861572, -0.001902461051940918, -1.5695838928222656, 0.0, -1.7518840892550036, -5.382162826988129, -3.952637750170232, -0.1199588004606138
1, 0.0006892681121826172, -3.1181352138519287, 3.1388978958129883, 1.565772533416748, -0.0018750429153442383, -1.569565773010254, 0.0, -1.7518797820983072, -5.382163147835468, -3.952636868518586, -0.11996681682409971
2, 0.0006892681121826172, -3.1181204319000244, 3.1388819217681885, 1.565772533416748, -0.0018750429153442383, -1.5695838928222656, 0.0, -1.7518755950817728, -5.382158473125976, -3.9526356854715234, -0.11998287901066629
3, 0.0006818771362304688, -3.1181204319000244, 3.138889789581299, 1.5657541751861572, -0.001902461051940918, -1.5695748329162598, 0.0, -1.7518610544583801, -5.3821538370713125, -3.95263826763462, -0.1199970003258537
4, 0.0007038116455078125, -3.1181352138519287, 3.1388819217681885, 1.565781593322754, -0.0018934011459350586, -1.569565773010254, 0.0, -1.7518553446248837, -5.382153232885948, -3.9526372147515376, -0.12000105313240716
5, 0.0006966590881347656, -3.1181352138519287, 3.138889789581299, 1.565781593322754, -0.0019115209579467773, -1.5695929527282715, 0.0, -1.7518510597243924, -5.38214596850127, -3.95263684770914, -0.11999819774772824
6, 0.0007112026214599609, -3.1181352138519287, 3.1388978958129883, 1.5657633543014526, -0.0018842220306396484, -1.5695838928222656, 0.0, -1.7518409391691536, -5.382141829349587, -3.9526390173135932, -0.12001332997410508
7, 0.0007038116455078125, -3.1181352138519287, 3.1388819217681885, 1.5657633543014526, -0.0018842220306396484, -1.569565773010254, 0.0, -1.7518377050797107, -5.3821510370844665, -3.9526339159135757, -0.12002173308391839
8, 0.0007038116455078125, -3.1181352138519287, 3.138889789581299, 1.5657541751861572, -0.0018934011459350586, -1.5695748329162598, 0.0, -1.7518320593570476, -5.382157222897332, -3.952634292755158, -0.12001099491848777
9, 0.0006966590881347656, -3.1181352138519287, 3.138889789581299, 1.5657633543014526, -0.0018934011459350586, -1.5695929527282715, 0.0, -1.7518425703438192, -5.382159786320972, -3.952639510445883, -0.12001422246212456
10, 0.0006892681121826172, -3.1181278228759766, 3.138889789581299, 1.5657541751861572, -0.0019208192825317383, -1.5695929527282715, 0.0, -1.7518320733815977, -5.382150236109824, -3.952634560530756, -0.12000540285780659
11, 0.0007112026214599609, -3.1181204319000244, 3.138889789581299, 1.565781593322754, -0.0018658638000488281, -1.5695748329162598, 0.0, -1.7518320929077202, -5.382139509695804, -3.9526385536710165, -0.12001638645743551
12, 0.0007112026214599609, -3.1181204319000244, 3.138889789581299, 1.5657633543014526, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.751821248228885, -5.3821360405085, -3.9526407159076595, -0.12002687890087138
13, 0.0006892681121826172, -3.1181352138519287, 3.138889789581299, 1.565781593322754, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.7518114998137466, -5.382135572319194, -3.9526374616321736, -0.12002002991960214
14, 0.0006966590881347656, -3.1181130409240723, 3.138889789581299, 1.565772533416748, -0.0018658638000488281, -1.569565773010254, 0.0, -1.7518150293384251, -5.382131703119742, -3.9526378745687696, -0.1200165423548949
15, 0.0006966590881347656, -3.1181278228759766, 3.1389060020446777, 1.565772533416748, -0.0018658638000488281, -1.5695838928222656, 0.0, -1.751820554920618, -5.382127508892172, -3.9526420951883026, -0.12001779927541545
16, 0.0006966590881347656, -3.1181352138519287, 3.138889789581299, 1.5657633543014526, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.7518139887146524, -5.382130210734202, -3.952638309929724, -0.12000497863726167
17, 0.0006818771362304688, -3.1181204319000244, 3.138889789581299, 1.5657633543014526, -0.0018934011459350586, -1.569565773010254, 0.0, -1.7518099716067603, -5.382128454405492, -3.952639835110364, -0.12001055582353981
18, 0.0007185935974121094, -3.1181204319000244, 3.138889789581299, 1.5657541751861572, -0.0018842220306396484, -1.5695748329162598, 0.0, -1.7518151327698623, -5.382127073890767, -3.9526380260022074, -0.12001019940487279
19, 0.0007112026214599609, -3.118149757385254, 3.1388978958129883, 1.5657633543014526, -0.0018750429153442383, -1.5695838928222656, 0.0, -1.7518115298974264, -5.382124860281757, -3.9526403140963033, -0.12002610541152237
20, 0.0006892681121826172, -3.1181278228759766, 3.1388978958129883, 1.5657633543014526, -0.0018934011459350586, -1.5695838928222656, 0.0, -1.7518096523566462, -5.382124550851465, -3.9526396357954474, -0.1200173750557747
21, 0.0006966590881347656, -3.1181352138519287, 3.1389060020446777, 1.5657633543014526, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.7518179290212825, -5.3821300999479185, -3.952642341644206, -0.12001100264414699
22, 0.0007112026214599609, -3.1181204319000244, 3.138889789581299, 1.565781593322754, -0.0018750429153442383, -1.5695838928222656, 0.0, -1.7518102385474057, -5.3821243422562555, -3.9526408195476437, -0.12001838654212804
23, 0.0007038116455078125, -3.1181204319000244, 3.138889789581299, 1.5657633543014526, -0.0018750429153442383, -1.5695929527282715, 0.0, -1.7518028396263854, -5.382122628181584, -3.9526371950193147, -0.12001377621812104
24, 0.0006892681121826172, -3.1181278228759766, 3.138889789581299, 1.5657907724380493, -0.0018934011459350586, -1.5695748329162598, 0.0, -1.7518041367423458, -5.382131747730408, -3.95263812996416, -0.12002002991960214
25, 0.0006966590881347656, -3.1181278228759766, 3.138889789581299, 1.5657541751861572, -0.001902461051940918, -1.5695748329162598, 0.0, -1.7518067209074313, -5.382126964626094, -3.952640645313273, -0.12002179200787655
26, 0.0006742477416992188, -3.1181352138519287, 3.138889789581299, 1.5657541751861572, -0.0018568038940429688, -1.5695748329162598, 0.0, -1.7517888320266422, -5.382130885973363, -3.952639545910943, -0.12001708470928119
27, 0.0006892681121826172, -3.1181352138519287, 3.1388819217681885, 1.565781593322754, -0.0018934011459350586, -1.5695838928222656, 0.0, -1.7517827353894369, -5.382134677342082, -3.952639133025312, -0.1200246099196125
28, 0.0006966590881347656, -3.1181130409240723, 3.138889789581299, 1.565781593322754, -0.0018750429153442383, -1.569556713104248, 0.0, -1.751774260243113, -5.382135301677241, -3.9526381655122287, -0.12001782014835527
29, 0.0007038116455078125, -3.1181278228759766, 3.1388978958129883, 1.5657358169555664, -0.0018934011459350586, -1.569565773010254, 0.0, -1.751765136486687, -5.382140047344927, -3.952638886240909, -0.120021538273412
30, 0.0006818771362304688, -3.1181352138519287, 3.138889789581299, 1.5657998323440552, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.7517597372721505, -5.382136164384261, -3.952642103644951, -0.12003810592749709
31, 0.0007038116455078125, -3.118142604827881, 3.1388978958129883, 1.565772533416748, -0.0018842220306396484, -1.5695838928222656, 0.0, -1.751743088417177, -5.382122258344781, -3.9526405365456596, -0.12002804456153715
32, 0.0007038116455078125, -3.1181130409240723, 3.1388978958129883, 1.5657633543014526, -0.0018658638000488281, -1.5695838928222656, 0.0, -1.7517362051231304, -5.382129703386455, -3.952640537435878, -0.1200424931324422
33, 0.0006966590881347656, -3.1181278228759766, 3.138889789581299, 1.565781593322754, -0.0018750429153442383, -1.5695748329162598, 0.0, -1.7517409475454055, -5.382131250873798, -3.9526434856780397, -0.12001815396792193
34, 0.0007112026214599609, -3.1181352138519287, 3.1389060020446777, 1.5657633543014526, -0.0018934011459350586, -1.5695748329162598, 0.0, -1.7517417462618763, -5.382121126625315, -3.9526442163115343, -0.11999172546967962
35, 0.0007038116455078125, -3.118142604827881, 3.1388819217681885, 1.5657633543014526, -0.0018934011459350586, -1.5695838928222656, 0.0, -1.7517370743983882, -5.382116368248285, -3.952642518080942, -0.11999913940816942
