# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_225713
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.0006742477416992188, -3.1182827949523926, 3.1388180255889893, 1.564731478691101, -0.001984715461730957, -1.567657470703125, 0.0, -1.7512469575768317, -5.395013712466857, -4.02514686904616, -0.125528263996185
1, 0.0006818771362304688, -3.1182680130004883, 3.1388180255889893, 1.564731478691101, -0.0020028352737426758, -1.567657470703125, 0.0, -1.7512464034421138, -5.395012171237328, -4.02514546145418, -0.1255210209007318
2, 0.0006892681121826172, -3.1182680130004883, 3.1388180255889893, 1.564731478691101, -0.0020028352737426758, -1.5676665306091309, 0.0, -1.7512472169485256, -5.395007482628313, -4.02514242616825, -0.12550517383142878
3, 0.0006892681121826172, -3.1182680130004883, 3.1388099193573, 1.5647222995758057, -0.0020028352737426758, -1.567657470703125, 0.0, -1.7512491138725053, -5.395014184372586, -4.025143575860118, -0.1254949264005747
4, 0.0007038116455078125, -3.1182680130004883, 3.1388180255889893, 1.5647222995758057, -0.0020028352737426758, -1.5676665306091309, 0.0, -1.7512540270766939, -5.395009490342715, -4.025144063764374, -0.12549263594768423
5, 0.0006742477416992188, -3.1182680130004883, 3.1388258934020996, 1.5647222995758057, -0.0020028352737426758, -1.5676665306091309, 0.0, -1.7512575877828103, -5.395016318353804, -4.025143860444884, -0.12551098160422924
6, 0.0006892681121826172, -3.1182751655578613, 3.1388180255889893, 1.5647040605545044, -0.002012014389038086, -1.567657470703125, 0.0, -1.75126352425466, -5.395020111745617, -4.025142970709437, -0.12552406977329866
7, 0.0006742477416992188, -3.1182899475097656, 3.1388258934020996, 1.5647406578063965, -0.001984715461730957, -1.5676393508911133, 0.0, -1.751263993922417, -5.395023416905211, -4.0251414862947446, -0.12552060438773083
8, 0.0006966590881347656, -3.1182827949523926, 3.1388180255889893, 1.5647132396697998, -0.0020028352737426758, -1.5676484107971191, 0.0, -1.7512613056396418, -5.395025645674977, -4.02513862988303, -0.12552585447892106
9, 0.0006597042083740234, -3.1182827949523926, 3.1388258934020996, 1.564731478691101, -0.001975417137145996, -1.5676484107971191, 0.0, -1.7512748535652023, -5.395023493924105, -4.025141232495603, -0.12553787165885044
10, 0.0006818771362304688, -3.1182751655578613, 3.1388099193573, 1.5647222995758057, -0.001975417137145996, -1.5676665306091309, 0.0, -1.7512817426149745, -5.395017831506978, -4.025140707236396, -0.12555136878005957
11, 0.0006892681121826172, -3.1182827949523926, 3.1388258934020996, 1.5647132396697998, -0.0020028352737426758, -1.5676665306091309, 0.0, -1.7512891734579012, -5.395007117501457, -4.025142140770864, -0.1255572062907504
12, 0.0006668567657470703, -3.1182827949523926, 3.1388258934020996, 1.5647406578063965, -0.002012014389038086, -1.5676755905151367, 0.0, -1.7512969633800848, -5.394995926811056, -4.025141148055811, -0.12555053574793718
13, 0.0006818771362304688, -3.1182827949523926, 3.1388258934020996, 1.5647132396697998, -0.001975417137145996, -1.5676755905151367, 0.0, -1.7513029306228518, -5.394991360964871, -4.025144050518591, -0.12554651999520416
14, 0.0006668567657470703, -3.1182751655578613, 3.1388180255889893, 1.5647222995758057, -0.0019937753677368164, -1.5676665306091309, 0.0, -1.7513197328125623, -5.394979091134499, -4.025139255142908, -0.12555834382383146
15, 0.0006818771362304688, -3.1182751655578613, 3.1388180255889893, 1.5647222995758057, -0.0019663572311401367, -1.567657470703125, 0.0, -1.7513215751251061, -5.394984823630035, -4.0251389163207, -0.12555608311452904
