# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_210105
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.0006742477416992188, -3.119049549102783, 3.139145612716675, 1.5676442384719849, -0.001756429672241211, -1.5699858665466309, 0.0, -1.9300496463782544, -5.551105945289801, -3.6386956163056956, -0.09376338674625817
1, 0.0006597042083740234, -3.1190571784973145, 3.139145612716675, 1.5676534175872803, -0.0017472505569458008, -1.5700130462646484, 0.0, -1.9300552137672715, -5.551104299657164, -3.6386984951872483, -0.09375907379593684
2, 0.0006597042083740234, -3.1190643310546875, 3.139145612716675, 1.5676716566085815, -0.001756429672241211, -1.5700039863586426, 0.0, -1.9300635821843293, -5.551101319130607, -3.638699306025862, -0.09377784572678305
3, 0.0006597042083740234, -3.1190571784973145, 3.139145612716675, 1.5676442384719849, -0.0017654895782470703, -1.5699858665466309, 0.0, -1.9300629802926943, -5.551103160387146, -3.6386979927306573, -0.09378785408179802
4, 0.0006818771362304688, -3.1190571784973145, 3.139145612716675, 1.5676534175872803, -0.0017654895782470703, -1.5700039863586426, 0.0, -1.9300722411728124, -5.551115680500805, -3.6386918875755856, -0.09380266285978323
5, 0.000652313232421875, -3.119034767150879, 3.1391375064849854, 1.5676534175872803, -0.0017380714416503906, -1.5699858665466309, 0.0, -1.9300850881856897, -5.551110039234711, -3.6386958684103994, -0.09380251400951423
6, 0.0006597042083740234, -3.11904239654541, 3.1391375064849854, 1.5676624774932861, -0.001756429672241211, -1.5699586868286133, 0.0, -1.9300925394428017, -5.551124858221558, -3.6386961377091716, -0.09380658880018977
7, 0.0006742477416992188, -3.119049549102783, 3.1391375064849854, 1.567635178565979, -0.0017472505569458008, -1.5700039863586426, 0.0, -1.9300955904252304, -5.551121100054767, -3.6386982088868085, -0.09380123389715767
8, 0.0006375312805175781, -3.11904239654541, 3.1391375064849854, 1.5676442384719849, -0.001756429672241211, -1.5699858665466309, 0.0, -1.9301021397765377, -5.551117159307167, -3.6386952707124003, -0.09383409268010645
9, 0.0006818771362304688, -3.1190571784973145, 3.1391375064849854, 1.5676534175872803, -0.0017380714416503906, -1.5699949264526367, 0.0, -1.9301001601743202, -5.551112270817415, -3.638695125762084, -0.09387401258911776
10, 0.0006668567657470703, -3.1190571784973145, 3.1391375064849854, 1.5676534175872803, -0.0017654895782470703, -1.5700039863586426, 0.0, -1.9301065666220965, -5.551126995673363, -3.638696494105583, -0.0938660676953873
11, 0.0006668567657470703, -3.1190643310546875, 3.1391375064849854, 1.5676624774932861, -0.0017472505569458008, -1.5699858665466309, 0.0, -1.9301213195242803, -5.551146270431174, -3.6386927602419057, -0.09380871550575254
12, 0.0006742477416992188, -3.1190719604492188, 3.1391375064849854, 1.5676442384719849, -0.0017472505569458008, -1.5700039863586426, 0.0, -1.9301227517922084, -5.5511485450629285, -3.6386918252275122, -0.09380581477882988
13, 0.0006597042083740234, -3.1190719604492188, 3.1391375064849854, 1.5676534175872803, -0.0017745494842529297, -1.5699949264526367, 0.0, -1.930129263536228, -5.551163063587304, -3.638694075834675, -0.09379220983389391
14, 0.0006597042083740234, -3.1190571784973145, 3.139129638671875, 1.5676534175872803, -0.0017654895782470703, -1.5699858665466309, 0.0, -1.9301284389443363, -5.551166240294326, -3.63869686478949, -0.09379249450350802
15, 0.0006597042083740234, -3.119049549102783, 3.139129638671875, 1.5676534175872803, -0.001756429672241211, -1.5699858665466309, 0.0, -1.9301286801387334, -5.551177312850458, -3.638695739134303, -0.09380224237218915
16, 0.0006742477416992188, -3.1190571784973145, 3.1391375064849854, 1.5676534175872803, -0.0017472505569458008, -1.569976806640625, 0.0, -1.930132923780044, -5.551175484718679, -3.6386957534483355, -0.09379415233052946
