# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_225311
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.0006818771362304688, -3.117943525314331, 3.138849973678589, 1.559983491897583, -0.0019663572311401367, -1.5665984153747559, 0.0, -1.8404728905197234, -5.428572279396724, -3.993434006050714, -0.12112033210547235
1, 0.0006892681121826172, -3.117936134338379, 3.138849973678589, 1.559983491897583, -0.0019663572311401367, -1.5666165351867676, 0.0, -1.8404731858871952, -5.428572559816781, -3.993431309311182, -0.12112081554521126
2, 0.0006818771362304688, -3.1179583072662354, 3.1388418674468994, 1.5600017309188843, -0.001975417137145996, -1.5666074752807617, 0.0, -1.840472614898232, -5.428569403555529, -3.9934321436950166, -0.12111786328814844
3, 0.0006818771362304688, -3.117950916290283, 3.138849973678589, 1.559983491897583, -0.001975417137145996, -1.5666255950927734, 0.0, -1.8404584815064, -5.428579075365375, -3.99343511272618, -0.1211550463012534
4, 0.0006966590881347656, -3.1179583072662354, 3.138849973678589, 1.5599925518035889, -0.001975417137145996, -1.5666074752807617, 0.0, -1.8404624042986542, -5.42857714771071, -3.9934325775902675, -0.12114717871794856
5, 0.0006818771362304688, -3.117943525314331, 3.138849973678589, 1.5600017309188843, -0.0019663572311401367, -1.5666346549987793, 0.0, -1.840468428327129, -5.428565711342507, -3.9934320080484644, -0.12115004216606273
6, 0.0006892681121826172, -3.1179583072662354, 3.1388418674468994, 1.5599743127822876, -0.001975417137145996, -1.5666074752807617, 0.0, -1.8404629946306992, -5.428571296636225, -3.993434242969551, -0.1211553739923037
7, 0.0006818771362304688, -3.117950916290283, 3.138849973678589, 1.5600109100341797, -0.001975417137145996, -1.5666165351867676, 0.0, -1.8404548883507603, -5.4285714832774765, -3.9934339312086093, -0.12115799156181328
8, 0.0006966590881347656, -3.1179583072662354, 3.138849973678589, 1.5599652528762817, -0.001975417137145996, -1.5666255950927734, 0.0, -1.8404523931360113, -5.4285685732965305, -3.993435625633822, -0.12116490714340955
9, 0.0006966590881347656, -3.117950916290283, 3.138849973678589, 1.5599743127822876, -0.001975417137145996, -1.5665984153747559, 0.0, -1.8404403034366035, -5.428569672378617, -3.993434158745759, -0.12115784958948694
10, 0.0006966590881347656, -3.117950916290283, 3.1388418674468994, 1.5600017309188843, -0.001984715461730957, -1.5666255950927734, 0.0, -1.8404293331493102, -5.428565652628903, -3.9934320344565286, -0.12115097075596104
11, 0.0007038116455078125, -3.1179583072662354, 3.138857841491699, 1.5599925518035889, -0.0019663572311401367, -1.5666255950927734, 0.0, -1.840433223060494, -5.428561111528764, -3.993432851841878, -0.12114505858118818
12, 0.0006892681121826172, -3.117943525314331, 3.138849973678589, 1.559983491897583, -0.0019663572311401367, -1.5666165351867676, 0.0, -1.8404390646655633, -5.4285649715032545, -3.993432283219519, -0.12115942700426974
13, 0.0006818771362304688, -3.117950916290283, 3.138849973678589, 1.559983491897583, -0.001975417137145996, -1.5666255950927734, 0.0, -1.8404375242974638, -5.4285618197428285, -3.993432531979009, -0.12115671996466304
14, 0.0006818771362304688, -3.117943525314331, 3.1388418674468994, 1.5599925518035889, -0.001984715461730957, -1.5666437149047852, 0.0, -1.8404305831785401, -5.428553898982708, -3.9934335463885073, -0.12115424282828968
15, 0.0006742477416992188, -3.117943525314331, 3.138849973678589, 1.559983491897583, -0.0019663572311401367, -1.5666165351867676, 0.0, -1.8404161556399723, -5.42856126388574, -3.993433413440386, -0.12114872440181035
16, 0.0006668567657470703, -3.117943525314331, 3.1388418674468994, 1.5599925518035889, -0.001975417137145996, -1.5666074752807617, 0.0, -1.8404113610345476, -5.428554824413655, -3.993429359728245, -0.12113436429421487
17, 0.0006818771362304688, -3.117950916290283, 3.138849973678589, 1.5599652528762817, -0.0019572973251342773, -1.5666255950927734, 0.0, -1.8404100542458464, -5.428557210561666, -3.9934320633061526, -0.12113493676310849
18, 0.0006818771362304688, -3.117936134338379, 3.138857841491699, 1.559983491897583, -0.001975417137145996, -1.5666346549987793, 0.0, -1.840410021390818, -5.428557291833619, -3.9934295030688767, -0.12114446357877284
19, 0.0006966590881347656, -3.117950916290283, 3.1388418674468994, 1.5599925518035889, -0.0019937753677368164, -1.5666165351867676, 0.0, -1.840421893076868, -5.428568547967414, -3.9934286084831063, -0.12116378429643682
20, 0.0006892681121826172, -3.1179656982421875, 3.138849973678589, 1.5600109100341797, -0.001984715461730957, -1.5666255950927734, 0.0, -1.8404191448335752, -5.428565900712102, -3.9934302218012525, -0.12116791890262935
21, 0.0007038116455078125, -3.117943525314331, 3.138849973678589, 1.5599925518035889, -0.001975417137145996, -1.5666437149047852, 0.0, -1.840414225762395, -5.428575169976103, -3.9934302879677186, -0.1211563251161678
22, 0.0006818771362304688, -3.1179583072662354, 3.1388418674468994, 1.5599743127822876, -0.001975417137145996, -1.5666255950927734, 0.0, -1.8404181638950081, -5.428585310442302, -3.99343096966804, -0.12116231144678924
23, 0.0006892681121826172, -3.1182310581207275, 3.1389617919921875, 1.5599560737609863, -0.0019115209579467773, -1.5666894912719727, 0.0, -1.8401927648258138, -5.428597479782239, -3.993053673053804, -0.12114902278423312
