# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_125649
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763488609.1592069, 0.000659625, -3.118880033, 3.138831298, 1.561155240, -0.001826247, -1.566844463, 0.021257778, 0.192463170, -5.363079856, -4.008024780, -0.201869224
1, 1763488609.190652, 0.000649770, -3.118880033, 3.138823271, 1.561161319, -0.001832366, -1.566838423, 0.021265388, 0.192457486, -5.363081032, -4.008022085, -0.201870857
2, 1763488609.214655, 0.000654777, -3.118877570, 3.138825893, 1.561155240, -0.001841426, -1.566835403, 0.021267951, 0.192440326, -5.363080901, -4.008027233, -0.201872052
3, 1763488609.240292, 0.000662088, -3.118880033, 3.138834000, 1.561152180, -0.001844525, -1.566832383, 0.021280646, 0.192440952, -5.363074271, -4.008025512, -0.201862753
4, 1763488609.2694368, 0.000649770, -3.118887345, 3.138828675, 1.561164339, -0.001832287, -1.566844463, 0.021273037, 0.192441765, -5.363072972, -4.008025707, -0.201856373
5, 1763488609.300298, 0.000659625, -3.118879954, 3.138831298, 1.561161319, -0.001847545, -1.566838423, 0.021265388, 0.192431093, -5.363065439, -4.008028246, -0.201864378
6, 1763488609.3246138, 0.000659625, -3.118889729, 3.138834000, 1.561158260, -0.001835386, -1.566838582, 0.021273037, 0.192429934, -5.363066697, -4.008025010, -0.201876815
7, 1763488609.3458781, 0.000654777, -3.118877570, 3.138828595, 1.561149160, -0.001826247, -1.566838423, 0.021262864, 0.192411643, -5.363061014, -4.008028231, -0.201886885
8, 1763488609.3840551, 0.000652313, -3.118884961, 3.138828595, 1.561167399, -0.001844446, -1.566844463, 0.021278123, 0.192403778, -5.363059660, -4.008029962, -0.201878776
9, 1763488609.413696, 0.000652313, -3.118875106, 3.138831298, 1.561155240, -0.001832287, -1.566829364, 0.021275560, 0.192406438, -5.363059008, -4.008027277, -0.201854843
10, 1763488609.436574, 0.000652313, -3.118884961, 3.138828595, 1.561158260, -0.001844525, -1.566853682, 0.021265388, 0.192396982, -5.363050214, -4.008029481, -0.201845392
11, 1763488609.472403, 0.000664632, -3.118875106, 3.138831298, 1.561152180, -0.001835386, -1.566832383, 0.021262825, 0.192391986, -5.363052743, -4.008029245, -0.201843464
12, 1763488609.500923, 0.000659704, -3.118877570, 3.138834000, 1.561152180, -0.001829267, -1.566844463, 0.021260341, 0.192389339, -5.363042781, -4.008027243, -0.201868888
13, 1763488609.528627, 0.000662088, -3.118882497, 3.138828675, 1.561158260, -0.001850645, -1.566826344, 0.021275560, 0.192390449, -5.363043746, -4.008027437, -0.201864289
14, 1763488609.5509279, 0.000649850, -3.118870179, 3.138834000, 1.561155240, -0.001841426, -1.566844622, 0.021273037, 0.192386447, -5.363036176, -4.008026411, -0.201844989
15, 1763488609.577651, 0.000659625, -3.118870179, 3.138831298, 1.561155240, -0.001829267, -1.566829364, 0.021255215, 0.192378061, -5.363039055, -4.008028726, -0.201849653
16, 1763488609.60772, 0.000654777, -3.118887345, 3.138828595, 1.561149120, -0.001832287, -1.566838423, 0.021267951, 0.192379901, -5.363036828, -4.008027628, -0.201856127
17, 1763488609.629251, 0.000657161, -3.118884961, 3.138831298, 1.561161319, -0.001838406, -1.566838423, 0.021270474, 0.192376824, -5.363035689, -4.008026183, -0.201850610
18, 1763488609.655896, 0.000662009, -3.118880033, 3.138831218, 1.561140021, -0.001832287, -1.566847642, 0.021267911, 0.192373650, -5.363042286, -4.008027101, -0.201852606
19, 1763488609.6909928, 0.000649770, -3.118884881, 3.138833920, 1.561143080, -0.001838406, -1.566841443, 0.021257778, 0.192375071, -5.363037120, -4.008025647, -0.201839922
20, 1763488609.711989, 0.000652313, -3.118887345, 3.138833920, 1.561164339, -0.001838406, -1.566841443, 0.021260301, 0.192360476, -5.363046579, -4.008026035, -0.201831599
21, 1763488609.7376409, 0.000649850, -3.118877570, 3.138834000, 1.561161319, -0.001847545, -1.566835403, 0.021265427, 0.192352743, -5.363052592, -4.008027589, -0.201834061
22, 1763488609.769119, 0.000664473, -3.118877570, 3.138831218, 1.561167439, -0.001862804, -1.566838423, 0.021270474, 0.192355894, -5.363042001, -4.008026107, -0.201837487
23, 1763488609.8047931, 0.000649850, -3.118879954, 3.138831298, 1.561152180, -0.001820127, -1.566826344, 0.021272997, 0.192345235, -5.363043035, -4.008025756, -0.201813735
24, 1763488609.830624, 0.000647386, -3.118884961, 3.138831298, 1.561158299, -0.001841505, -1.566826344, 0.021265427, 0.192341530, -5.363034253, -4.008027282, -0.201809892
25, 1763488609.860179, 0.000654697, -3.118882497, 3.138831298, 1.561161319, -0.001847545, -1.566844463, 0.021267951, 0.192343513, -5.363029678, -4.008030482, -0.201812624
