# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251117_231308
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 2.5510787963867188e-05, -3.1191160678863525, 3.139065742492676, 1.56949782371521, 0.0010470151901245117, -1.5697755813598633, 0.02209484577178955, -1.80257423982591, -5.160975017306792, -3.9482705776477482, -0.21011032122848672
1, 3.2901763916015625e-05, -3.119130849838257, 3.1390576362609863, 1.5695160627365112, 0.0010651350021362305, -1.5697755813598633, 0.0220719575881958, -1.8025709414893758, -5.160973327874768, -3.948268291538412, -0.21011395984608328
2, 4.00543212890625e-05, -3.1191234588623047, 3.139065742492676, 1.56949782371521, 0.0010377168655395508, -1.569793701171875, 0.02207958698272705, -1.802565841694142, -5.16096492041196, -3.948271296079557, -0.2101075249982287
3, 3.2901763916015625e-05, -3.1191160678863525, 3.1390576362609863, 1.569488763809204, 0.0010470151901245117, -1.569812297821045, 0.02206432819366455, -1.8025612476771595, -5.160970812230978, -3.9482707732106213, -0.2101151282603979
4, 3.2901763916015625e-05, -3.1191234588623047, 3.139073610305786, 1.56949782371521, 0.0011017322540283203, -1.5697755813598633, 0.0221024751663208, -1.8025579836029868, -5.16097521714922, -3.948269619289198, -0.2101011517466036
5, 3.2901763916015625e-05, -3.119138240814209, 3.139065742492676, 1.5695160627365112, 0.0010651350021362305, -1.5697755813598633, 0.0221024751663208, -1.802563256018905, -5.160973424329228, -3.948271610203658, -0.21010527708592175
6, 1.811981201171875e-05, -3.119130849838257, 3.139065742492676, 1.5695160627365112, 0.0010377168655395508, -1.5697755813598633, 0.02206432819366455, -1.802565331604105, -5.1609711037593, -3.9482720810461447, -0.21012059984703058
7, 4.00543212890625e-05, -3.1191012859344482, 3.1390576362609863, 1.5695160627365112, 0.0010470151901245117, -1.5697755813598633, 0.0220872163772583, -1.8025668364600318, -5.160967193742329, -3.9482687640644043, -0.21012743018266367
8, 3.2901763916015625e-05, -3.1191160678863525, 3.1390576362609863, 1.56949782371521, 0.0010651350021362305, -1.5697574615478516, 0.02206432819366455, -1.8025628118201595, -5.16096105425386, -3.9482662650806297, -0.2101139177062077
9, 4.00543212890625e-05, -3.1191234588623047, 3.139065742492676, 1.5695070028305054, 0.0010286569595336914, -1.5697755813598633, 0.0220872163772583, -1.8025560959272253, -5.160959949975705, -3.9482690894662107, -0.21011176889301098
10, 3.2901763916015625e-05, -3.119138240814209, 3.1390576362609863, 1.5695070028305054, 0.0010286569595336914, -1.5697755813598633, 0.02209484577178955, -1.8025504484110244, -5.160956052738025, -3.9482688190542374, -0.2101038442411145
11, 3.2901763916015625e-05, -3.1191160678863525, 3.139065742492676, 1.5695252418518066, 0.001056075096130371, -1.5697846412658691, 0.02207958698272705, -1.802549052763697, -5.160966771470194, -3.948271576279321, -0.21011654628631327
12, 4.00543212890625e-05, -3.1191234588623047, 3.139065742492676, 1.56949782371521, 0.0010377168655395508, -1.5697846412658691, 0.0220719575881958, -1.8025484787556076, -5.160966521239733, -3.948269839832953, -0.21010956775746426
13, 4.744529724121094e-05, -3.119130849838257, 3.139065742492676, 1.5695070028305054, 0.0010377168655395508, -1.5697846412658691, 0.02206432819366455, -1.802550796221092, -5.160964064497114, -3.9482681537959565, -0.21011386861135062
14, 4.00543212890625e-05, -3.1191160678863525, 3.139065742492676, 1.56949782371521, 0.0010377168655395508, -1.5697574615478516, 0.0220719575881958, -1.8025525787167238, -5.1609635296524745, -3.948267929945026, -0.21011107469953938
15, 3.2901763916015625e-05, -3.1191160678863525, 3.139073610305786, 1.5695070028305054, 0.0010377168655395508, -1.5697755813598633, 0.0220566987991333, -1.8025510619913425, -5.160963671652009, -3.948269130979863, -0.2100995683887099
16, 4.00543212890625e-05, -3.1191084384918213, 3.1390576362609863, 1.56949782371521, 0.001056075096130371, -1.569793701171875, 0.0220872163772583, -1.8025393006000678, -5.160966452174302, -3.9482672443930205, -0.21010154955161653
17, 3.2901763916015625e-05, -3.1191234588623047, 3.139065742492676, 1.56949782371521, 0.0010741949081420898, -1.5697665214538574, 0.0220719575881958, -1.8025411801289997, -5.1609668847340195, -3.9482686167135284, -0.21009647345040072
18, 2.5510787963867188e-05, -3.119130849838257, 3.139065742492676, 1.56949782371521, 0.0010651350021362305, -1.5697665214538574, 0.0220566987991333, -1.802541627092237, -5.160969617813062, -3.948270163499687, -0.21010582308518444
19, 4.744529724121094e-05, -3.119130849838257, 3.139065742492676, 1.569488763809204, 0.0010377168655395508, -1.569803237915039, 0.0220872163772583, -1.8025334159737931, -5.160969315091585, -3.9482683724408933, -0.2100926000409702
20, 3.2901763916015625e-05, -3.1191084384918213, 3.139065742492676, 1.5695070028305054, 0.001056075096130371, -1.5697755813598633, 0.0220719575881958, -1.8025353593607076, -5.160966791007724, -3.9482684059951616, -0.21008407011356045
21, 3.2901763916015625e-05, -3.1191234588623047, 3.139065742492676, 1.5695160627365112, 0.0010286569595336914, -1.5697846412658691, 0.0220566987991333, -1.8025357002139786, -5.160967765952563, -3.9482693152626904, -0.21007875922056662
